kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,51,964158588756,1
1,934985575618,52,558099471698,1
2,441407419144,68,355925197578,1
3,666118048802,69,324189162539,1
4,465448939657,70,197245022382,1
5,762284130855,78,791090692239,1
6,850113267871,79,965339513407,1
7,101918188159,71,788980089528,1
8,407672752638,72,956897102560,1
9,531179382778,73,529053526912,1
10,1025205903338,34,432539814776,1
11,802288730025,35,630647631328,1
12,1010131664551,36,323567269761,1
13,741991774879,37,194757451271,1
14,768943843967,38,779029805087,1
15,876752120317,39,917095964796,1
16,208473597942,59,363047729074,1
17,833894391769,60,352679288523,1
18,37042683748,61,311205526318,1
19,148170734994,62,145310477496,1
20,592682939979,63,581241909984,1
21,171708504365,46,873893664033,1
22,686834017461,47,197039772807,1
23,548312814293,48,788159091229,1
24,1093739629398,49,953613109365,1
25,1076423634264,50,515917554133,1
26,1007159653729,51,964158588756,1
27,730103731591,52,558099471698,1
28,721391670812,71,788980089528,1
29,686543427698,57,847324203899,1
30,547150455243,70,197245022382,1
31,1089090193197,71,788980089528,1
32,1057825889463,55,533994099895,1
33,932768674526,56,1036464771806,1
34,432539814776,62,145310477496,1
35,630647631328,72,956897102560,1
36,323567269761,73,529053526912,1
37,194757451271,64,125944384387,1
38,779029805087,75,768275036162,1
39,917095964796,62,145310477496,1
40,369848975857,63,581241909984,1
41,379884275653,64,125944384387,1
42,420025474837,65,503777537548,1
43,580590271572,66,915598522416,1
44,123337830738,67,363859206338,1
45,493351322952,68,355925197578,1
46,873893664033,69,324189162539,1
47,197039772807,70,197245022382,1
48,788159091229,71,788980089528,1
49,953613109365,72,956897102560,1
50,515917554133,73,529053526912,1
51,964158588756,74,1016702479872,1
52,558099471698,75,768275036162,1
53,33374631243,76,874076889096,1
54,133498524973,77,197772673059,1
55,533994099895,78,791090692239,1
56,1036464771806,79,965339513407,1
57,847324203899,80,562823170302,1
58,90761932268,80,562823170302,1

