kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,72,956897102560,1
1,934985575618,29,686543427698,1
2,441407419144,71,788980089528,1
3,666118048802,71,788980089528,1
4,465448939657,28,721391670812,1
5,762284130855,75,768275036162,1
6,850113267871,73,529053526912,1
7,101918188159,48,788159091229,1
8,407672752638,50,515917554133,1
9,531179382778,31,1089090193197,1
10,1025205903338,56,1036464771806,1
11,802288730025,80,562823170302,1
12,1010131664551,71,788980089528,1
13,741991774879,34,432539814776,1
14,768943843967,48,788159091229,1
15,876752120317,47,197039772807,1
16,208473597942,56,1036464771806,1
17,833894391769,40,369848975857,1
18,37042683748,47,197039772807,1
19,148170734994,48,788159091229,1
20,592682939979,50,515917554133,1
21,171708504365,52,558099471698,1
22,686834017461,58,90761932268,1
23,548312814293,55,533994099895,1
24,1093739629398,45,493351322952,1
25,1076423634264,71,788980089528,1
26,1007159653729,55,533994099895,1
27,730103731591,69,324189162539,1
28,721391670812,52,558099471698,1
29,686543427698,67,363859206338,1
30,547150455243,73,529053526912,1
31,1089090193197,71,788980089528,1
32,1057825889463,65,503777537548,1
33,932768674526,73,529053526912,1
34,432539814776,73,529053526912,1
35,630647631328,71,788980089528,1
36,323567269761,63,581241909984,1
37,194757451271,73,529053526912,1
38,779029805087,68,355925197578,1
39,917095964796,63,581241909984,1
40,369848975857,63,581241909984,1
41,379884275653,73,529053526912,1
42,420025474837,68,355925197578,1
43,580590271572,65,503777537548,1
44,123337830738,80,562823170302,1
45,493351322952,72,956897102560,1
46,873893664033,73,529053526912,1
47,197039772807,73,529053526912,1
48,788159091229,72,956897102560,1
49,953613109365,71,788980089528,1
50,515917554133,71,788980089528,1
51,964158588756,76,874076889096,1
52,558099471698,76,874076889096,1
53,33374631243,76,874076889096,1
54,133498524973,77,197772673059,1
55,533994099895,80,562823170302,1
56,1036464771806,79,965339513407,1
57,847324203899,79,965339513407,1
58,90761932268,79,965339513407,1

