kmer_1,hash_1,kmer_2,hash_2,Sample
0,783502207792,46,873893664033,1
1,934985575618,47,197039772807,1
2,441407419144,48,788159091229,1
3,666118048802,49,953613109365,1
4,465448939657,54,133498524973,1
5,762284130855,49,953613109365,1
6,850113267871,78,791090692239,1
7,101918188159,37,194757451271,1
8,407672752638,38,779029805087,1
9,531179382778,37,194757451271,1
10,1025205903338,33,932768674526,1
11,802288730025,40,369848975857,1
12,1010131664551,79,965339513407,1
13,741991774879,41,379884275653,1
14,768943843967,52,558099471698,1
15,876752120317,53,33374631243,1
16,208473597942,53,33374631243,1
17,833894391769,53,33374631243,1
18,37042683748,40,369848975857,1
19,148170734994,41,379884275653,1
20,592682939979,72,956897102560,1
21,171708504365,73,529053526912,1
22,686834017461,74,1016702479872,1
23,548312814293,53,33374631243,1
24,1093739629398,59,363047729074,1
25,1076423634264,54,133498524973,1
26,1007159653729,57,847324203899,1
27,730103731591,73,529053526912,1
28,721391670812,74,1016702479872,1
29,686543427698,74,1016702479872,1
30,547150455243,74,1016702479872,1
31,1089090193197,61,311205526318,1
32,1057825889463,62,145310477496,1
33,932768674526,74,1016702479872,1
34,432539814776,57,847324203899,1
35,630647631328,60,352679288523,1
36,323567269761,57,847324203899,1
37,194757451271,73,529053526912,1
38,779029805087,74,1016702479872,1
39,917095964796,73,529053526912,1
40,369848975857,77,197772673059,1
41,379884275653,78,791090692239,1
42,420025474837,78,791090692239,1
43,580590271572,74,1016702479872,1
44,123337830738,73,529053526912,1
45,493351322952,77,197772673059,1
46,873893664033,78,791090692239,1
47,197039772807,74,1016702479872,1
48,788159091229,74,1016702479872,1
49,953613109365,75,768275036162,1
50,515917554133,76,874076889096,1
51,964158588756,77,197772673059,1
52,558099471698,78,791090692239,1
53,33374631243,74,1016702479872,1
54,133498524973,77,197772673059,1
55,533994099895,76,874076889096,1
56,1036464771806,78,791090692239,1
57,847324203899,78,791090692239,1
58,90761932268,79,965339513407,1

