kmer_1,hash_1,kmer_2,hash_2,Sample
0,765138874,48,769686612,1
1,913071851,33,910906908,1
2,431061932,34,422402162,1
3,650505907,29,670452566,1
4,454539980,34,422402162,1
5,744418096,38,760771294,1
6,830188738,46,853411781,1
7,99529480,54,130369653,1
8,398117922,41,370980737,1
9,518729865,50,503825736,1
10,1001177639,51,941561121,1
11,783485087,48,769686612,1
12,986456703,51,941561121,1
13,724601342,38,760771294,1
14,750921722,48,769686612,1
15,856203242,46,853411781,1
16,203587497,62,141904763,1
17,814349991,57,827465042,1
18,36174495,53,32592413,1
19,144697983,62,141904763,1
20,578791933,52,545019015,1
21,167684086,62,141904763,1
22,670736345,63,567619052,1
23,535461732,55,521478613,1
24,1068105106,56,1012172628,1
25,1051194955,56,1012172628,1
26,983554349,74,992873515,1
27,712991925,75,750268590,1
28,704484053,71,770488368,1
29,670452566,63,567619052,1
30,534326616,55,521478613,1
31,1063564641,56,1012172628,1
32,1033033095,79,942714368,1
33,910906908,72,934469826,1
34,422402162,65,491970251,1
35,615866827,80,549632002,1
36,315983661,69,316590979,1
37,190192823,70,192622092,1
38,760771294,71,770488368,1
39,895601528,66,894139182,1
40,361180640,67,355331256,1
41,370980737,68,347583200,1
42,410181127,73,516653834,1
43,566982687,80,549632002,1
44,120447100,81,51044360,1
45,481788401,73,516653834,1
46,853411781,76,853590712,1
47,192421653,77,193137376,1
48,769686612,75,750268590,1
49,931262802,76,853590712,1
50,503825736,95,267123060,1
51,941561121,88,939671471,1
52,545019015,89,537460415,1
53,32592413,91,9432057,1
54,130369653,81,51044360,1
55,521478613,105,390090066,1
56,1012172628,102,1046282549,1
57,827465042,83,816709775,1
58,88634699,90,2358014,1
59,354538797,105,390090066,1
60,344413367,105,390090066,1
61,303911646,108,269702278,1
62,141904763,93,150912919,1
63,567619052,89,537460415,1
64,122992562,111,81076630,1
65,491970251,106,486618440,1
66,894139182,114,893937049,1
67,355331256,115,354522726,1
68,347583200,116,344349082,1
69,316590979,117,303654504,1
70,192622092,118,140876193,1
71,770488368,100,803590163,1
72,934469826,114,893937049,1
73,516653834,106,486618440,1
74,992873515,103,963904725,1
75,750268590,100,803590163,1
76,853590712,107,872731937,1
77,193137376,118,140876193,1
78,772549504,125,644373992,1
79,942714368,107,872731937,1
80,549632002,119,563504773,1
81,51044360,110,20269157,1
82,204177443,113,223484262,1
83,816709775,114,893937049,1
84,45613631,109,5067289,1
85,182454526,118,140876193,1
86,729818106,129,677242913,1
