kmer_1,hash_1,kmer_2,hash_2,Sample
0,487,42,496,1
1,163,25,821,1
2,380,40,578,1
3,335,45,654,1
4,923,66,72,1
5,377,40,578,1
6,163,74,821,1
7,924,66,72,1
8,509,44,485,1
9,433,76,540,1
10,210,53,782,1
11,851,70,132,1
12,637,64,317,1
13,937,57,54,1
14,443,76,540,1
15,153,74,821,1
16,606,64,317,1
17,70,43,916,1
18,847,70,132,1
19,996,63,994,1
20,252,69,690,1
21,91,65,879,1
22,581,79,404,1
23,315,48,664,1
24,933,58,61,1
25,821,70,132,1
26,141,55,855,1
27,872,72,107,1
28,731,68,262,1
29,194,53,782,1
30,927,58,61,1
31,48,61,929,1
32,733,68,262,1
33,802,70,132,1
34,248,69,690,1
35,47,61,929,1
36,219,69,690,1
37,191,69,690,1
38,267,69,690,1
39,471,75,519,1
40,578,79,404,1
41,521,73,465,1
42,496,73,465,1
43,916,66,72,1
44,485,73,465,1
45,654,78,268,1
46,183,69,690,1
47,767,70,132,1
48,664,78,268,1
49,269,76,540,1
50,647,78,268,1
51,685,78,268,1
52,90,74,821,1
53,782,74,821,1
54,36,76,540,1
55,855,76,540,1
56,861,79,404,1
57,54,79,404,1
58,61,79,404,1

