kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,30,691667882540,1
1,225021060698,73,838922290575,1
2,751811042594,28,344385838419,1
3,266620507010,73,838922290575,1
4,506808479486,50,592868914031,1
5,969275750396,37,128997619860,1
6,405415226767,30,691667882540,1
7,1012078734606,37,128997619860,1
8,308713754463,69,790737636729,1
9,999077273861,37,128997619860,1
10,468884374430,43,633054586524,1
11,25306936596,74,1098012763682,1
12,328803851944,58,761442907731,1
13,865737320896,71,230784931020,1
14,478580496769,43,633054586524,1
15,1050137073261,80,47609374335,1
16,225771307629,73,838922290575,1
17,79192799791,56,1003234924806,1
18,240923569305,52,850978853674,1
19,595586975660,53,510548413781,1
20,143882506893,65,959665685844,1
21,1048545324813,80,47609374335,1
22,172455341789,63,924817681548,1
23,14517492787,74,1098012763682,1
24,600077505471,53,510548413781,1
25,703385941477,59,404829690482,1
26,412025095471,66,707905015709,1
27,373862804571,57,723382373901,1
28,344385838419,76,736567627603,1
29,987275190410,80,47609374335,1
30,691667882540,59,404829690482,1
31,719642857202,59,404829690482,1
32,421712381758,75,582806187918,1
33,542334672089,75,582806187918,1
34,1059089869151,80,47609374335,1
35,249007155772,73,838922290575,1
36,469726183413,75,582806187918,1
37,128997619860,77,999104334256,1
38,505819144763,75,582806187918,1
39,567274007621,70,515912234248,1
40,1006912280260,80,47609374335,1
41,440861397638,75,582806187918,1
42,391090163604,66,707905015709,1
43,633054586524,70,515912234248,1
44,354891356783,72,727292806357,1
45,28667085619,74,1098012763682,1
46,217870457078,73,838922290575,1
47,804006657962,70,515912234248,1
48,422059264908,75,582806187918,1
49,813941753491,70,515912234248,1
50,592868914031,71,230784931020,1
51,978429863730,80,47609374335,1
52,850978853674,80,47609374335,1
53,510548413781,75,582806187918,1
54,824008316696,80,47609374335,1
55,366039162106,76,736567627603,1
56,1003234924806,80,47609374335,1
57,723382373901,80,47609374335,1
58,761442907731,80,47609374335,1

