kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,21,1048545324813,1
1,225021060698,22,172455341789,1
2,751811042594,23,14517492787,1
3,266620507010,24,600077505471,1
4,506808479486,25,703385941477,1
5,969275750396,26,412025095471,1
6,405415226767,27,373862804571,1
7,1012078734606,28,344385838419,1
8,308713754463,29,987275190410,1
9,999077273861,30,691667882540,1
10,468884374430,31,719642857202,1
11,25306936596,32,421712381758,1
12,328803851944,33,542334672089,1
13,865737320896,34,1059089869151,1
14,478580496769,35,249007155772,1
15,1050137073261,36,469726183413,1
16,225771307629,37,128997619860,1
17,79192799791,38,505819144763,1
18,240923569305,39,567274007621,1
19,595586975660,40,1006912280260,1
20,143882506893,41,440861397638,1
21,1048545324813,42,391090163604,1
22,172455341789,43,633054586524,1
23,14517492787,44,354891356783,1
24,600077505471,45,28667085619,1
25,703385941477,46,217870457078,1
26,412025095471,47,804006657962,1
27,373862804571,48,422059264908,1
28,344385838419,49,813941753491,1
29,987275190410,50,592868914031,1
30,691667882540,51,978429863730,1
31,719642857202,52,850978853674,1
32,421712381758,53,510548413781,1
33,542334672089,54,824008316696,1
34,1059089869151,55,366039162106,1
35,249007155772,56,1003234924806,1
36,469726183413,57,723382373901,1
37,128997619860,58,761442907731,1
38,505819144763,59,404829690482,1
39,567274007621,60,332559466849,1
40,1006912280260,61,339965753772,1
41,440861397638,62,780780618659,1
42,391090163604,63,924817681548,1
43,633054586524,64,778759307472,1
44,354891356783,65,959665685844,1
45,28667085619,66,707905015709,1
46,217870457078,67,183525752730,1
47,804006657962,68,788897785462,1
48,422059264908,69,790737636729,1
49,813941753491,70,515912234248,1
50,592868914031,71,230784931020,1
51,978429863730,72,727292806357,1
52,850978853674,73,838922290575,1
53,510548413781,74,1098012763682,1
54,824008316696,75,582806187918,1
55,366039162106,76,736567627603,1
56,1003234924806,77,999104334256,1
57,723382373901,78,911844244244,1
58,761442907731,79,714920814314,1

