kmer_1,hash_1,kmer_2,hash_2,Sample
0,487,42,496,1
1,163,74,821,1
2,380,22,581,1
3,335,45,654,1
4,923,66,72,1
5,377,22,581,1
6,163,74,821,1
7,924,66,72,1
8,509,44,485,1
9,433,76,540,1
10,210,53,782,1
11,851,26,141,1
12,637,64,317,1
13,937,57,54,1
14,443,76,540,1
15,153,74,821,1
16,606,64,317,1
17,70,63,994,1
18,847,26,141,1
19,996,63,994,1
20,252,32,733,1
21,91,65,879,1
22,581,79,404,1
23,315,48,664,1
24,933,58,61,1
25,821,26,141,1
26,141,55,855,1
27,872,72,107,1
28,731,68,262,1
29,194,33,802,1
30,927,58,61,1
31,48,24,933,1
32,733,68,262,1
33,802,29,194,1
34,248,32,733,1
35,47,24,933,1
36,219,47,767,1
37,191,33,802,1
38,267,69,690,1
39,471,41,521,1
40,578,79,404,1
41,521,39,471,1
42,496,42,496,1
43,916,66,72,1
44,485,42,496,1
45,654,64,317,1
46,183,33,802,1
47,767,36,219,1
48,664,64,317,1
49,269,69,690,1
50,647,64,317,1
51,685,60,290,1
52,90,65,879,1
53,782,29,194,1
54,36,24,933,1
55,855,26,141,1
56,861,70,132,1
57,54,24,933,1
58,61,24,933,1

