kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,36,469726183413,1
1,225021060698,64,778759307472,1
2,751811042594,68,788897785462,1
3,266620507010,33,542334672089,1
4,506808479486,56,1003234924806,1
5,969275750396,32,421712381758,1
6,405415226767,68,788897785462,1
7,1012078734606,50,592868914031,1
8,308713754463,73,838922290575,1
9,999077273861,75,582806187918,1
10,468884374430,62,780780618659,1
11,25306936596,34,1059089869151,1
12,328803851944,72,727292806357,1
13,865737320896,77,999104334256,1
14,478580496769,40,1006912280260,1
15,1050137073261,49,813941753491,1
16,225771307629,37,128997619860,1
17,79192799791,76,736567627603,1
18,240923569305,53,510548413781,1
19,595586975660,40,1006912280260,1
20,143882506893,64,778759307472,1
21,1048545324813,59,404829690482,1
22,172455341789,53,510548413781,1
23,14517492787,64,778759307472,1
24,600077505471,77,999104334256,1
25,703385941477,48,422059264908,1
26,412025095471,68,788897785462,1
27,373862804571,69,790737636729,1
28,344385838419,72,727292806357,1
29,987275190410,69,790737636729,1
30,691667882540,52,850978853674,1
31,719642857202,59,404829690482,1
32,421712381758,77,999104334256,1
33,542334672089,80,47609374335,1
34,1059089869151,64,778759307472,1
35,249007155772,70,515912234248,1
36,469726183413,79,714920814314,1
37,128997619860,79,714920814314,1
38,505819144763,74,1098012763682,1
39,567274007621,61,339965753772,1
40,1006912280260,71,230784931020,1
41,440861397638,63,924817681548,1
42,391090163604,73,838922290575,1
43,633054586524,79,714920814314,1
44,354891356783,70,515912234248,1
45,28667085619,66,707905015709,1
46,217870457078,70,515912234248,1
47,804006657962,75,582806187918,1
48,422059264908,74,1098012763682,1
49,813941753491,78,911844244244,1
50,592868914031,80,47609374335,1
51,978429863730,76,736567627603,1
52,850978853674,73,838922290575,1
53,510548413781,78,911844244244,1
54,824008316696,77,999104334256,1
55,366039162106,77,999104334256,1
56,1003234924806,79,714920814314,1
57,723382373901,80,47609374335,1
58,761442907731,79,714920814314,1

