kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,56,1003234924806,1
1,225021060698,56,1003234924806,1
2,751811042594,48,422059264908,1
3,266620507010,29,987275190410,1
4,506808479486,60,332559466849,1
5,969275750396,59,404829690482,1
6,405415226767,30,691667882540,1
7,1012078734606,64,778759307472,1
8,308713754463,70,515912234248,1
9,999077273861,31,719642857202,1
10,468884374430,39,567274007621,1
11,25306936596,69,790737636729,1
12,328803851944,65,959665685844,1
13,865737320896,52,850978853674,1
14,478580496769,66,707905015709,1
15,1050137073261,76,736567627603,1
16,225771307629,76,736567627603,1
17,79192799791,49,813941753491,1
18,240923569305,41,440861397638,1
19,595586975660,59,404829690482,1
20,143882506893,76,736567627603,1
21,1048545324813,46,217870457078,1
22,172455341789,65,959665685844,1
23,14517492787,54,824008316696,1
24,600077505471,70,515912234248,1
25,703385941477,55,366039162106,1
26,412025095471,77,999104334256,1
27,373862804571,77,999104334256,1
28,344385838419,79,714920814314,1
29,987275190410,59,404829690482,1
30,691667882540,53,510548413781,1
31,719642857202,70,515912234248,1
32,421712381758,71,230784931020,1
33,542334672089,75,582806187918,1
34,1059089869151,57,723382373901,1
35,249007155772,60,332559466849,1
36,469726183413,74,1098012763682,1
37,128997619860,62,780780618659,1
38,505819144763,67,183525752730,1
39,567274007621,67,183525752730,1
40,1006912280260,68,788897785462,1
41,440861397638,69,790737636729,1
42,391090163604,79,714920814314,1
43,633054586524,77,999104334256,1
44,354891356783,72,727292806357,1
45,28667085619,71,230784931020,1
46,217870457078,73,838922290575,1
47,804006657962,68,788897785462,1
48,422059264908,71,230784931020,1
49,813941753491,77,999104334256,1
50,592868914031,77,999104334256,1
51,978429863730,72,727292806357,1
52,850978853674,80,47609374335,1
53,510548413781,79,714920814314,1
54,824008316696,77,999104334256,1
55,366039162106,76,736567627603,1
56,1003234924806,79,714920814314,1
57,723382373901,78,911844244244,1
58,761442907731,80,47609374335,1

