kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,42,391090163604,1
1,225021060698,25,703385941477,1
2,751811042594,40,1006912280260,1
3,266620507010,45,28667085619,1
4,506808479486,66,707905015709,1
5,969275750396,40,1006912280260,1
6,405415226767,74,1098012763682,1
7,1012078734606,66,707905015709,1
8,308713754463,44,354891356783,1
9,999077273861,76,736567627603,1
10,468884374430,53,510548413781,1
11,25306936596,70,515912234248,1
12,328803851944,64,778759307472,1
13,865737320896,57,723382373901,1
14,478580496769,76,736567627603,1
15,1050137073261,74,1098012763682,1
16,225771307629,64,778759307472,1
17,79192799791,43,633054586524,1
18,240923569305,70,515912234248,1
19,595586975660,63,924817681548,1
20,143882506893,69,790737636729,1
21,1048545324813,65,959665685844,1
22,172455341789,79,714920814314,1
23,14517492787,48,422059264908,1
24,600077505471,58,761442907731,1
25,703385941477,70,515912234248,1
26,412025095471,55,366039162106,1
27,373862804571,72,727292806357,1
28,344385838419,68,788897785462,1
29,987275190410,53,510548413781,1
30,691667882540,58,761442907731,1
31,719642857202,61,339965753772,1
32,421712381758,68,788897785462,1
33,542334672089,70,515912234248,1
34,1059089869151,69,790737636729,1
35,249007155772,61,339965753772,1
36,469726183413,69,790737636729,1
37,128997619860,69,790737636729,1
38,505819144763,69,790737636729,1
39,567274007621,75,582806187918,1
40,1006912280260,79,714920814314,1
41,440861397638,73,838922290575,1
42,391090163604,73,838922290575,1
43,633054586524,66,707905015709,1
44,354891356783,73,838922290575,1
45,28667085619,78,911844244244,1
46,217870457078,69,790737636729,1
47,804006657962,70,515912234248,1
48,422059264908,78,911844244244,1
49,813941753491,76,736567627603,1
50,592868914031,78,911844244244,1
51,978429863730,78,911844244244,1
52,850978853674,74,1098012763682,1
53,510548413781,74,1098012763682,1
54,824008316696,76,736567627603,1
55,366039162106,76,736567627603,1
56,1003234924806,79,714920814314,1
57,723382373901,79,714920814314,1
58,761442907731,79,714920814314,1

