kmer_1,hash_1,kmer_2,hash_2,Sample
0,28223,31,36594,1
1,58970,56,6406,1
2,7458,29,57482,1
3,4994,34,59743,1
4,44798,66,20381,1
5,14332,62,50083,1
6,28047,31,36594,1
7,60686,41,4742,1
8,3935,63,60556,1
9,24837,71,38092,1
10,50078,74,9762,1
11,13588,62,50083,1
12,40616,55,23802,1
13,10688,52,54058,1
14,55681,74,9762,1
15,5741,51,59186,1
16,49773,74,9762,1
17,14895,62,50083,1
18,60569,41,4742,1
19,1964,70,62728,1
20,53901,74,9762,1
21,61197,76,3923,1
22,44765,66,20381,1
23,23603,71,38092,1
24,5055,51,59186,1
25,46565,77,18864,1
26,1327,70,62728,1
27,44123,66,20381,1
28,56659,56,6406,1
29,57482,56,6406,1
30,21036,71,38092,1
31,36594,80,26239,1
32,18238,58,46675,1
33,23769,71,38092,1
34,59743,76,3923,1
35,43580,66,20381,1
36,49141,74,9762,1
37,30868,72,34005,1
38,41531,66,20381,1
39,27717,72,34005,1
40,5828,79,59114,1
41,4742,63,60556,1
42,20372,75,44942,1
43,26268,71,38092,1
44,23151,71,38092,1
45,819,78,64276,1
46,22774,71,38092,1
47,65450,78,64276,1
48,19340,75,44942,1
49,34451,80,26239,1
50,45935,77,18864,1
51,59186,76,3923,1
52,54058,74,9762,1
53,36181,80,26239,1
54,5912,79,59114,1
55,23802,80,26239,1
56,6406,79,59114,1
57,3597,79,59114,1
58,46675,79,59114,1

