kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,21,1048545324813,1
1,225021060698,62,780780618659,1
2,751811042594,33,542334672089,1
3,266620507010,54,824008316696,1
4,506808479486,28,344385838419,1
5,969275750396,44,354891356783,1
6,405415226767,35,249007155772,1
7,1012078734606,46,217870457078,1
8,308713754463,30,691667882540,1
9,999077273861,62,780780618659,1
10,468884374430,42,391090163604,1
11,25306936596,70,515912234248,1
12,328803851944,50,592868914031,1
13,865737320896,80,47609374335,1
14,478580496769,45,28667085619,1
15,1050137073261,45,28667085619,1
16,225771307629,58,761442907731,1
17,79192799791,71,230784931020,1
18,240923569305,61,339965753772,1
19,595586975660,79,714920814314,1
20,143882506893,58,761442907731,1
21,1048545324813,79,714920814314,1
22,172455341789,43,633054586524,1
23,14517492787,51,978429863730,1
24,600077505471,73,838922290575,1
25,703385941477,73,838922290575,1
26,412025095471,58,761442907731,1
27,373862804571,65,959665685844,1
28,344385838419,77,999104334256,1
29,987275190410,80,47609374335,1
30,691667882540,59,404829690482,1
31,719642857202,63,924817681548,1
32,421712381758,59,404829690482,1
33,542334672089,65,959665685844,1
34,1059089869151,67,183525752730,1
35,249007155772,62,780780618659,1
36,469726183413,77,999104334256,1
37,128997619860,71,230784931020,1
38,505819144763,73,838922290575,1
39,567274007621,67,183525752730,1
40,1006912280260,61,339965753772,1
41,440861397638,77,999104334256,1
42,391090163604,75,582806187918,1
43,633054586524,73,838922290575,1
44,354891356783,68,788897785462,1
45,28667085619,78,911844244244,1
46,217870457078,80,47609374335,1
47,804006657962,70,515912234248,1
48,422059264908,80,47609374335,1
49,813941753491,79,714920814314,1
50,592868914031,71,230784931020,1
51,978429863730,75,582806187918,1
52,850978853674,75,582806187918,1
53,510548413781,76,736567627603,1
54,824008316696,79,714920814314,1
55,366039162106,80,47609374335,1
56,1003234924806,80,47609374335,1
57,723382373901,80,47609374335,1
58,761442907731,79,714920814314,1

