kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,26,412025095471,1
1,225021060698,71,230784931020,1
2,751811042594,76,736567627603,1
3,266620507010,35,249007155772,1
4,506808479486,53,510548413781,1
5,969275750396,51,978429863730,1
6,405415226767,59,404829690482,1
7,1012078734606,40,1006912280260,1
8,308713754463,61,339965753772,1
9,999077273861,77,999104334256,1
10,468884374430,36,469726183413,1
11,25306936596,45,28667085619,1
12,328803851944,60,332559466849,1
13,865737320896,73,838922290575,1
14,478580496769,36,469726183413,1
15,1050137073261,74,1098012763682,1
16,225771307629,71,230784931020,1
17,79192799791,45,28667085619,1
18,240923569305,46,217870457078,1
19,595586975660,50,592868914031,1
20,143882506893,67,183525752730,1
21,1048545324813,74,1098012763682,1
22,172455341789,67,183525752730,1
23,14517492787,45,28667085619,1
24,600077505471,50,592868914031,1
25,703385941477,79,714920814314,1
26,412025095471,59,404829690482,1
27,373862804571,55,366039162106,1
28,344385838419,55,366039162106,1
29,987275190410,51,978429863730,1
30,691667882540,66,707905015709,1
31,719642857202,79,714920814314,1
32,421712381758,53,510548413781,1
33,542334672089,70,515912234248,1
34,1059089869151,74,1098012763682,1
35,249007155772,71,230784931020,1
36,469726183413,70,515912234248,1
37,128997619860,80,47609374335,1
38,505819144763,70,515912234248,1
39,567274007621,75,582806187918,1
40,1006912280260,77,999104334256,1
41,440861397638,70,515912234248,1
42,391090163604,70,515912234248,1
43,633054586524,75,582806187918,1
44,354891356783,70,515912234248,1
45,28667085619,80,47609374335,1
46,217870457078,71,230784931020,1
47,804006657962,69,790737636729,1
48,422059264908,70,515912234248,1
49,813941753491,72,727292806357,1
50,592868914031,75,582806187918,1
51,978429863730,77,999104334256,1
52,850978853674,73,838922290575,1
53,510548413781,80,47609374335,1
54,824008316696,76,736567627603,1
55,366039162106,80,47609374335,1
56,1003234924806,77,999104334256,1
57,723382373901,79,714920814314,1
58,761442907731,79,714920814314,1

