kmer_1,hash_1,kmer_2,hash_2,Sample
0,487,75,519,1
1,163,55,855,1
2,380,50,647,1
3,335,48,664,1
4,923,52,90,1
5,377,50,647,1
6,163,55,855,1
7,924,52,90,1
8,509,42,496,1
9,433,40,578,1
10,210,33,802,1
11,851,46,183,1
12,637,79,404,1
13,937,58,61,1
14,443,40,578,1
15,153,55,855,1
16,606,79,404,1
17,70,30,927,1
18,847,46,183,1
19,996,54,36,1
20,252,47,767,1
21,91,43,916,1
22,581,73,465,1
23,315,62,683,1
24,933,66,72,1
25,821,46,183,1
26,141,56,861,1
27,872,71,127,1
28,731,38,267,1
29,194,25,821,1
30,927,66,72,1
31,48,59,981,1
32,733,38,267,1
33,802,36,219,1
34,248,47,767,1
35,47,59,981,1
36,219,53,782,1
37,191,25,821,1
38,267,28,731,1
39,471,76,540,1
40,578,73,465,1
41,521,44,485,1
42,496,75,519,1
43,916,52,90,1
44,485,75,519,1
45,654,79,404,1
46,183,25,821,1
47,767,80,231,1
48,664,79,404,1
49,269,28,731,1
50,647,79,404,1
51,685,23,315,1
52,90,43,916,1
53,782,36,219,1
54,36,59,981,1
55,855,46,183,1
56,861,26,141,1
57,54,59,981,1
58,61,59,981,1

