kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,43,633054586524,1
1,225021060698,68,788897785462,1
2,751811042594,29,987275190410,1
3,266620507010,44,354891356783,1
4,506808479486,63,924817681548,1
5,969275750396,58,761442907731,1
6,405415226767,38,505819144763,1
7,1012078734606,35,249007155772,1
8,308713754463,57,723382373901,1
9,999077273861,79,714920814314,1
10,468884374430,34,1059089869151,1
11,25306936596,53,510548413781,1
12,328803851944,44,354891356783,1
13,865737320896,55,366039162106,1
14,478580496769,79,714920814314,1
15,1050137073261,39,567274007621,1
16,225771307629,43,633054586524,1
17,79192799791,42,391090163604,1
18,240923569305,80,47609374335,1
19,595586975660,65,959665685844,1
20,143882506893,77,999104334256,1
21,1048545324813,66,707905015709,1
22,172455341789,67,183525752730,1
23,14517492787,51,978429863730,1
24,600077505471,54,824008316696,1
25,703385941477,68,788897785462,1
26,412025095471,48,422059264908,1
27,373862804571,79,714920814314,1
28,344385838419,78,911844244244,1
29,987275190410,64,778759307472,1
30,691667882540,68,788897785462,1
31,719642857202,78,911844244244,1
32,421712381758,74,1098012763682,1
33,542334672089,78,911844244244,1
34,1059089869151,71,230784931020,1
35,249007155772,71,230784931020,1
36,469726183413,60,332559466849,1
37,128997619860,67,183525752730,1
38,505819144763,67,183525752730,1
39,567274007621,74,1098012763682,1
40,1006912280260,79,714920814314,1
41,440861397638,73,838922290575,1
42,391090163604,80,47609374335,1
43,633054586524,71,230784931020,1
44,354891356783,74,1098012763682,1
45,28667085619,72,727292806357,1
46,217870457078,77,999104334256,1
47,804006657962,76,736567627603,1
48,422059264908,78,911844244244,1
49,813941753491,72,727292806357,1
50,592868914031,74,1098012763682,1
51,978429863730,73,838922290575,1
52,850978853674,77,999104334256,1
53,510548413781,76,736567627603,1
54,824008316696,78,911844244244,1
55,366039162106,78,911844244244,1
56,1003234924806,77,999104334256,1
57,723382373901,78,911844244244,1
58,761442907731,80,47609374335,1

