kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,75,582806187918,1
1,225021060698,55,366039162106,1
2,751811042594,50,592868914031,1
3,266620507010,48,422059264908,1
4,506808479486,52,850978853674,1
5,969275750396,50,592868914031,1
6,405415226767,55,366039162106,1
7,1012078734606,52,850978853674,1
8,308713754463,42,391090163604,1
9,999077273861,40,1006912280260,1
10,468884374430,33,542334672089,1
11,25306936596,46,217870457078,1
12,328803851944,79,714920814314,1
13,865737320896,58,761442907731,1
14,478580496769,40,1006912280260,1
15,1050137073261,55,366039162106,1
16,225771307629,79,714920814314,1
17,79192799791,61,339965753772,1
18,240923569305,46,217870457078,1
19,595586975660,54,824008316696,1
20,143882506893,47,804006657962,1
21,1048545324813,43,633054586524,1
22,172455341789,73,838922290575,1
23,14517492787,62,780780618659,1
24,600077505471,66,707905015709,1
25,703385941477,46,217870457078,1
26,412025095471,56,1003234924806,1
27,373862804571,71,230784931020,1
28,344385838419,78,911844244244,1
29,987275190410,74,1098012763682,1
30,691667882540,66,707905015709,1
31,719642857202,59,404829690482,1
32,421712381758,78,911844244244,1
33,542334672089,80,47609374335,1
34,1059089869151,74,1098012763682,1
35,249007155772,59,404829690482,1
36,469726183413,74,1098012763682,1
37,128997619860,74,1098012763682,1
38,505819144763,74,1098012763682,1
39,567274007621,76,736567627603,1
40,1006912280260,73,838922290575,1
41,440861397638,75,582806187918,1
42,391090163604,75,582806187918,1
43,633054586524,72,727292806357,1
44,354891356783,75,582806187918,1
45,28667085619,79,714920814314,1
46,217870457078,74,1098012763682,1
47,804006657962,80,47609374335,1
48,422059264908,79,714920814314,1
49,813941753491,74,1098012763682,1
50,592868914031,79,714920814314,1
51,978429863730,79,714920814314,1
52,850978853674,80,47609374335,1
53,510548413781,80,47609374335,1
54,824008316696,80,47609374335,1
55,366039162106,80,47609374335,1
56,1003234924806,80,47609374335,1
57,723382373901,80,47609374335,1
58,761442907731,80,47609374335,1

