kmer_1,hash_1,kmer_2,hash_2,Sample
0,10281932913029817952,30,8860663057099814841,1
1,11008738241297126721,44,16234991907797275456,1
2,13542730007268331863,27,14467454939797576562,1
3,18009943334019955827,42,14457917386737419132,1
4,3324971043915455065,47,11449405154163667149,1
5,18090399880013246874,38,7793250267262173432,1
6,12331549373091909295,50,16778637196868285846,1
7,6164623023918609780,40,8320081631200151566,1
8,13893489577821856840,47,11449405154163667149,1
9,469438574232423816,46,14317330436659207353,1
10,11360585116524401206,35,15873812065460792999,1
11,18149174181549432639,52,10222425433642738190,1
12,12370897015063730477,53,13809666532709303840,1
13,8373421324167514917,55,4160421929818301448,1
14,15519285013463221704,47,11449405154163667149,1
15,15234535241596205155,59,99103379177241228,1
16,8216662818135301292,48,8904097480284472207,1
17,17622582495970712833,45,14282052876520532702,1
18,13804599261552157592,46,14317330436659207353,1
19,8825093518739525291,66,15409064016387575689,1
20,7880790334668365396,60,2110493123162578809,1
21,7484900257330740912,56,3473493032979542255,1
22,9453367038096148548,70,1133518289248456950,1
23,11804503842235851078,60,2110493123162578809,1
24,9253381051312734945,72,637659833159161381,1
25,1475010653410525138,71,4534245750254697930,1
26,2561918913130660141,68,1777626659264786871,1
27,14467454939797576562,76,13387323895411097550,1
28,9845264148664789849,64,7625370313413257543,1
29,14981191156957034334,75,3901286367287802309,1
30,8860663057099814841,55,4160421929818301448,1
31,12473531698534353904,76,13387323895411097550,1
32,6586072176077686521,64,7625370313413257543,1
33,6829947858805155605,75,3901286367287802309,1
34,5833809733040614466,73,4926711118772174654,1
35,15873812065460792999,77,3849746820721459864,1
36,14863086829567764268,71,4534245750254697930,1
37,7977174168213779359,69,117204102449063790,1
38,7793250267262173432,71,4534245750254697930,1
39,8295650473472485131,66,15409064016387575689,1
40,8320081631200151566,76,13387323895411097550,1
41,4520116957135566461,76,13387323895411097550,1
42,14457917386737419132,67,7387110201044566321,1
43,5327434002648760532,76,13387323895411097550,1
44,16234991907797275456,74,4188071303223287080,1
45,14282052876520532702,75,3901286367287802309,1
46,14317330436659207353,80,11058549178050824409,1
47,11449405154163667149,79,6038390391394926556,1
48,8904097480284472207,82,18352826572450321872,1
49,16085940071245621544,78,15399010355450164312,1
50,16778637196868285846,82,18352826572450321872,1
51,203652490009577455,84,13539093817034192981,1
52,10222425433642738190,80,11058549178050824409,1
53,13809666532709303840,82,18352826572450321872,1
54,7439343086284667501,82,18352826572450321872,1
55,4160421929818301448,81,12390662695876025907,1
56,3473493032979542255,85,4976693570590751086,1
57,13730742960941007218,84,13539093817034192981,1
58,16476859740066723046,83,12416891910974731915,1
59,99103379177241228,84,13539093817034192981,1

0,18401778469709462565,26,3612110977529943004,2
1,5088251791559681305,27,8606395089017099656,2
2,14073319696152445534,35,5300341355674852735,2
3,7318681805935212736,28,1092968080021837640,2
4,15829899819341315462,46,11019436640302733891,2
5,8345050988217957917,32,17910971644450167686,2
6,10468649926264833672,47,6742177395775449504,2
7,9684964539281505375,53,14853225811964720135,2
8,6579904381699929388,57,3758177537794297535,2
9,9026318391734152116,41,7050698264142746022,2
10,13862265079571978775,49,15641111834941099738,2
11,1857863150272908410,57,3758177537794297535,2
12,10004563287370579694,37,5596228422972766512,2
13,11588751380101436416,40,5964352574794169393,2
14,8659658355818414882,57,3758177537794297535,2
15,8257176240962205717,40,5964352574794169393,2
16,4666695770877634932,63,4062406324365281890,2
17,9080298670836704155,43,6315259254716451062,2
18,13027150168614635083,61,12183205794114456763,2
19,294947994135557108,66,4257066434650719876,2
20,508541702510374772,55,16503060554417288548,2
21,15025564466894810242,69,1897040630902179974,2
22,1324975662585106010,67,8281523833713799976,2
23,18146225529801101137,57,3758177537794297535,2
24,1566809105972593858,68,3361588736963068544,2
25,4425335765493761102,75,13211948729241788804,2
26,3612110977529943004,52,8324984032344698280,2
27,8606395089017099656,65,1891533935024733409,2
28,1092968080021837640,54,403636629992350499,2
29,14799618169549051887,60,11709696147818363805,2
30,2388595709829785846,56,12996837453168042723,2
31,17735736288807397672,56,12996837453168042723,2
32,17910971644450167686,69,1897040630902179974,2
33,12452836670097290013,68,3361588736963068544,2
34,6421053509338518712,70,14240652564927737399,2
35,5300341355674852735,85,12404751559095888063,2
36,17471761550897343238,70,14240652564927737399,2
37,5596228422972766512,79,17278683021232233439,2
38,16204740803686235865,79,17278683021232233439,2
39,13375218596805644891,82,15184684628561376429,2
40,5964352574794169393,85,12404751559095888063,2
41,7050698264142746022,76,6991526731208616146,2
42,13452800304383365125,79,17278683021232233439,2
43,6315259254716451062,83,10590519536952410827,2
44,13140914683720582731,75,13211948729241788804,2
45,8874384550931344250,83,10590519536952410827,2
46,11019436640302733891,83,10590519536952410827,2
47,6742177395775449504,83,10590519536952410827,2
48,8521965704813258459,83,10590519536952410827,2
49,15641111834941099738,83,10590519536952410827,2
50,6770583018605692559,79,17278683021232233439,2
51,3029033248631431646,76,6991526731208616146,2
52,8324984032344698280,83,10590519536952410827,2
53,14853225811964720135,78,13936043307697894365,2
54,403636629992350499,79,17278683021232233439,2
55,16503060554417288548,80,10494931603916370831,2
56,12996837453168042723,85,12404751559095888063,2
57,3758177537794297535,83,10590519536952410827,2
58,12510418818128367418,85,12404751559095888063,2
59,9450496230410303488,84,5468849684850795401,2

0,6708519478620318439,32,16084491001354863940,3
1,8387968327700721084,45,6498725538788044615,3
2,15105157044859103621,35,7265386344288944498,3
3,14569939950768298976,49,16341680527639661886,3
