kmer_1,hash_1,kmer_2,hash_2,Sample
0,412007099967,44,354891356783,1
1,225021060698,61,339965753772,1
2,751811042594,39,567274007621,1
3,266620507010,73,838922290575,1
4,506808479486,78,911844244244,1
5,969275750396,69,790737636729,1
6,405415226767,63,924817681548,1
7,1012078734606,48,422059264908,1
8,308713754463,34,1059089869151,1
9,999077273861,60,332559466849,1
10,468884374430,71,230784931020,1
11,25306936596,54,824008316696,1
12,328803851944,46,217870457078,1
13,865737320896,47,804006657962,1
14,478580496769,48,422059264908,1
15,1050137073261,67,183525752730,1
16,225771307629,44,354891356783,1
17,79192799791,74,1098012763682,1
18,240923569305,47,804006657962,1
19,595586975660,47,804006657962,1
20,143882506893,69,790737636729,1
21,1048545324813,61,339965753772,1
22,172455341789,56,1003234924806,1
23,14517492787,54,824008316696,1
24,600077505471,72,727292806357,1
25,703385941477,80,47609374335,1
26,412025095471,74,1098012763682,1
27,373862804571,78,911844244244,1
28,344385838419,75,582806187918,1
29,987275190410,73,838922290575,1
30,691667882540,79,714920814314,1
31,719642857202,59,404829690482,1
32,421712381758,55,366039162106,1
33,542334672089,74,1098012763682,1
34,1059089869151,69,790737636729,1
35,249007155772,69,790737636729,1
36,469726183413,71,230784931020,1
37,128997619860,76,736567627603,1
38,505819144763,60,332559466849,1
39,567274007621,61,339965753772,1
40,1006912280260,63,924817681548,1
41,440861397638,72,727292806357,1
42,391090163604,78,911844244244,1
43,633054586524,64,778759307472,1
44,354891356783,71,230784931020,1
45,28667085619,71,230784931020,1
46,217870457078,79,714920814314,1
47,804006657962,77,999104334256,1
48,422059264908,69,790737636729,1
49,813941753491,72,727292806357,1
50,592868914031,76,736567627603,1
51,978429863730,73,838922290575,1
52,850978853674,77,999104334256,1
53,510548413781,79,714920814314,1
54,824008316696,75,582806187918,1
55,366039162106,76,736567627603,1
56,1003234924806,77,999104334256,1
57,723382373901,79,714920814314,1
58,761442907731,80,47609374335,1

