kmer_1,hash_1,kmer_2,hash_2,Sample
0,358,70,628,1
1,35,69,891,1
2,853,61,136,1
3,161,26,815,1
4,468,60,484,1
5,931,29,51,1
6,264,30,710,1
7,460,60,484,1
8,149,51,792,1
9,417,43,562,1
10,467,60,484,1
11,908,59,88,1
12,345,54,649,1
13,963,55,963,1
14,850,66,146,1
15,861,68,123,1
16,292,48,703,1
17,162,51,792,1
18,453,60,484,1
19,602,63,387,1
20,735,50,224,1
21,697,46,286,1
22,233,80,753,1
23,246,48,703,1
24,524,79,452,1
25,159,51,792,1
26,815,66,146,1
27,666,53,326,1
28,793,66,146,1
29,51,69,891,1
30,710,66,146,1
31,269,65,653,1
32,744,66,146,1
33,679,71,313,1
34,621,64,371,1
35,465,60,484,1
36,39,69,891,1
37,372,76,624,1
38,268,65,653,1
39,237,80,753,1
40,69,69,891,1
41,879,69,891,1
42,354,70,628,1
43,562,64,371,1
44,278,65,653,1
45,326,70,628,1
46,286,70,628,1
47,478,79,452,1
48,703,75,119,1
49,340,70,628,1
50,224,80,753,1
51,792,75,119,1
52,358,78,627,1
53,326,78,627,1
54,649,75,119,1
55,963,80,753,1
56,115,80,753,1
57,639,80,753,1
58,38,80,753,1

