kmer_1,hash_1,kmer_2,hash_2,Sample
0,358,55,963,1
1,35,69,891,1
2,853,61,136,1
3,161,26,815,1
4,468,24,524,1
5,931,29,51,1
6,264,30,710,1
7,460,24,524,1
8,149,26,815,1
9,417,43,562,1
10,467,24,524,1
11,908,59,88,1
12,345,54,649,1
13,963,55,963,1
14,850,66,146,1
15,861,55,963,1
16,292,48,703,1
17,162,26,815,1
18,453,24,524,1
19,602,63,387,1
20,735,23,246,1
21,697,46,286,1
22,233,80,753,1
23,246,32,744,1
24,524,35,465,1
25,159,26,815,1
26,815,25,159,1
27,666,53,326,1
28,793,25,159,1
29,51,69,891,1
30,710,46,286,1
31,269,30,710,1
32,744,23,246,1
33,679,71,313,1
34,621,37,372,1
35,465,24,524,1
36,39,69,891,1
37,372,76,624,1
38,268,30,710,1
39,237,80,753,1
40,69,69,891,1
41,879,56,115,1
42,354,57,639,1
43,562,63,387,1
44,278,30,710,1
45,326,27,666,1
46,286,30,710,1
47,478,60,484,1
48,703,46,286,1
49,340,65,653,1
50,224,80,753,1
51,792,25,159,1
52,358,55,963,1
53,326,27,666,1
54,649,49,340,1
55,963,55,963,1
56,115,41,879,1
57,639,55,963,1
58,38,69,891,1

