kmer_1,hash_1,kmer_2,hash_2,Sample
0,12905157496239611822,43,14869029909090424462,1
1,15574249923070719144,49,6451020364950872348,1
2,3022651348398337378,36,13378243545097299126,1
3,1097984197799448946,71,10522884372037683490,1
4,6460178763421453676,52,9495894346278716464,1
5,15963936324582080937,26,15190432852865722388,1
6,17339739147736951682,64,9486943518933199674,1
7,15198038946567491930,58,10160682829772824421,1
8,16556151238443598423,29,6026249720162120773,1
9,3701330640172858092,36,13378243545097299126,1
10,17774454800474686496,58,10160682829772824421,1
11,6032022942194404458,47,13085766938276416876,1
12,1588974213201415337,79,7034696737058440694,1
13,5776274081382329281,40,7451708253359883756,1
14,1275573880035892709,75,3581405892612386570,1
15,12274892975022607407,40,7451708253359883756,1
16,4365202046435177289,79,7034696737058440694,1
17,10048363671252145775,73,12675104587096717126,1
18,3730767033904740740,40,7451708253359883756,1
19,5477336132225966875,56,12969991681878936467,1
20,5279978134185611485,73,12675104587096717126,1
21,9045766229151911610,67,8336284782956559063,1
22,15966989601708717645,80,17865339110438569310,1
23,6913406383616836897,49,6451020364950872348,1
24,13965878797828959542,52,9495894346278716464,1
25,14927386812899266716,68,12122510702908971050,1
26,15190432852865722388,51,17251441142293940040,1
27,15646564254855921060,55,10142752261991003923,1
28,10156448998061300582,66,8932543287241342047,1
29,6026249720162120773,54,8543587305453195827,1
30,8580789672433516735,76,13707842829224861331,1
31,1652350910187291980,80,17865339110438569310,1
32,11158671223144465938,72,16056569504565090762,1
33,18070977598760745784,64,9486943518933199674,1
34,6888971711485132882,73,12675104587096717126,1
35,15778007614829072976,70,14949253449212887793,1
36,13378243545097299126,69,12586103678462093113,1
37,10882864968097502294,74,1827877218327910477,1
38,5215808517147322268,74,1827877218327910477,1
39,16847731726796238146,69,12586103678462093113,1
40,7451708253359883756,78,3880099013741698765,1
41,11538413152585812316,64,9486943518933199674,1
42,18020717831179770628,65,10677318135236597916,1
43,14869029909090424462,68,12122510702908971050,1
44,4874968237747641597,74,1827877218327910477,1
45,13474964876732149194,68,12122510702908971050,1
46,13683460596843658210,70,14949253449212887793,1
47,13085766938276416876,77,8307359369974525408,1
48,8086289176405593208,71,10522884372037683490,1
49,6451020364950872348,76,13707842829224861331,1
50,10102988672366193698,71,10522884372037683490,1
51,17251441142293940040,72,16056569504565090762,1
52,9495894346278716464,79,7034696737058440694,1
53,15027108698087932510,74,1827877218327910477,1
54,8543587305453195827,79,7034696737058440694,1
55,10142752261991003923,79,7034696737058440694,1
56,12969991681878936467,78,3880099013741698765,1
57,1306954553638707956,80,17865339110438569310,1
58,10160682829772824421,79,7034696737058440694,1

