kmer_1,hash_1,kmer_2,hash_2,Sample
0,57262,58,8037,1
1,62632,70,753,1
2,28002,35,37456,1
3,4466,38,59292,1
4,3436,75,61194,1
5,33193,55,30483,1
6,43906,47,19820,1
7,4442,38,59292,1
8,599,66,64607,1
9,47852,52,17456,1
10,50208,61,13496,1
11,3178,75,61194,1
12,19625,39,44354,1
13,60353,54,4659,1
14,24037,44,40189,1
15,3119,75,61194,1
16,45897,56,19347,1
17,38511,69,26425,1
18,14724,79,50678,1
19,41755,43,22158,1
20,37085,59,27690,1
21,3770,75,61194,1
22,13901,71,51490,1
23,17697,67,47831,1
24,11574,60,53760,1
25,4252,75,61194,1
26,10260,60,53760,1
27,64932,66,64607,1
28,56166,49,8476,1
29,29765,80,34142,1
30,32959,55,30483,1
31,50508,61,13496,1
32,17938,62,39373,1
33,64312,70,753,1
34,16466,67,47831,1
35,37456,59,27690,1
36,58550,65,6300,1
37,37974,69,26425,1
38,59292,70,753,1
39,44354,61,13496,1
40,50668,61,13496,1
41,35164,69,26425,1
42,39684,76,24211,1
43,22158,68,38954,1
44,40189,76,24211,1
45,11722,71,51490,1
46,48098,77,11744,1
47,19820,68,38954,1
48,52344,77,11744,1
49,8476,78,57037,1
50,44066,77,11744,1
51,18248,80,34142,1
52,17456,80,34142,1
53,49758,77,11744,1
54,4659,78,57037,1
55,30483,80,34142,1
56,19347,80,34142,1
57,58100,78,57037,1
58,8037,79,50678,1

