kmer_1,hash_1,kmer_2,hash_2,Sample
0,358,57,639,1
1,35,55,963,1
2,853,66,146,1
3,161,62,863,1
4,468,43,562,1
5,931,40,69,1
6,264,32,744,1
7,460,43,562,1
8,149,62,863,1
9,417,77,614,1
10,467,43,562,1
11,908,56,115,1
12,345,65,653,1
13,963,58,38,1
14,850,50,224,1
15,861,61,136,1
16,292,80,753,1
17,162,62,863,1
18,453,43,562,1
19,602,79,452,1
20,735,44,278,1
21,697,71,313,1
22,233,73,787,1
23,246,80,753,1
24,524,47,478,1
25,159,62,863,1
26,815,50,224,1
27,666,49,340,1
28,793,50,224,1
29,51,55,963,1
30,710,71,313,1
31,269,80,753,1
32,744,71,313,1
33,679,72,359,1
34,621,63,387,1
35,465,77,614,1
36,39,58,38,1
37,372,78,627,1
38,268,80,753,1
39,237,73,787,1
40,69,75,119,1
41,879,75,119,1
42,354,65,653,1
43,562,79,452,1
44,278,80,753,1
45,326,80,753,1
46,286,80,753,1
47,478,77,614,1
48,703,71,313,1
49,340,80,753,1
50,224,73,787,1
51,792,72,359,1
52,358,80,753,1
53,326,80,753,1
54,649,79,452,1
55,963,79,452,1
56,115,79,452,1
57,639,79,452,1
58,38,79,452,1

