kmer_1,hash_1,kmer_2,hash_2,Sample
0,9934664236889081634,52,12611039369229855172,1
1,10597475013814388683,79,7729407166100661307,1
2,3510319022738732813,30,4158901164195996957,1
3,7035503117766913294,27,14324046950985092316,1
4,14305845051703870089,41,6713847218523757209,1
5,9143565915950630205,28,7807335310536395758,1
6,5173583248679398277,30,4158901164195996957,1
7,16392511025953631886,53,10185670340693000323,1
8,5382319141688903969,31,17176499991864017914,1
9,17751278230870342854,31,17176499991864017914,1
10,10570054952764076044,33,17979688052937552070,1
11,9582212055021684034,42,2389191972158006113,1
12,10125189301102859721,49,17526600327315619743,1
13,13562725641436285530,70,7957770491674262227,1
14,10738309199566798260,69,4776435350899279066,1
15,13626736285299151254,60,5293783592017670550,1
16,4121417453122983465,56,16293652892801333712,1
17,7116435234579705111,40,14166621940229248604,1
18,3159092760804498468,39,4323826369843132747,1
19,12780454039691450000,71,16643924494372194076,1
20,14790562012719043875,52,12611039369229855172,1
21,8304101114965466427,55,17681577618152118145,1
22,12742543752987462452,55,17681577618152118145,1
23,74598762617089418,70,7957770491674262227,1
24,12616956939562076673,55,17681577618152118145,1
25,17366195297312592400,46,10206708339361344282,1
26,334491439906115545,79,7729407166100661307,1
27,14324046950985092316,52,12611039369229855172,1
28,7807335310536395758,60,5293783592017670550,1
29,5745086003982714231,55,17681577618152118145,1
30,4158901164195996957,60,5293783592017670550,1
31,17176499991864017914,73,17764536504956087142,1
32,14526705956990191321,70,7957770491674262227,1
33,17979688052937552070,66,16515692752295524092,1
34,10945204649614978311,76,1883532307967475826,1
35,9097158556256754585,71,16643924494372194076,1
36,17424404780369635878,62,6931615536157059029,1
37,14208165851717102924,67,2881643890729362966,1
38,17565212210217967767,66,16515692752295524092,1
39,4323826369843132747,73,17764536504956087142,1
40,14166621940229248604,73,17764536504956087142,1
41,6713847218523757209,71,16643924494372194076,1
42,2389191972158006113,70,7957770491674262227,1
43,1328514181761461304,75,2424706655567439372,1
44,17661866576997194120,78,8469999694180797118,1
45,5888691305920406679,77,3678727550490044089,1
46,10206708339361344282,75,2424706655567439372,1
47,3762793880718378279,77,3678727550490044089,1
48,7384189200534076857,73,17764536504956087142,1
49,17526600327315619743,76,1883532307967475826,1
50,7116095855384934796,79,7729407166100661307,1
51,3170039573269404418,74,7524309858774116463,1
52,12611039369229855172,78,8469999694180797118,1
53,10185670340693000323,79,7729407166100661307,1
54,5912480907120242619,76,1883532307967475826,1
55,17681577618152118145,77,3678727550490044089,1
56,16293652892801333712,77,3678727550490044089,1
57,7651339450840846244,79,7729407166100661307,1
58,11717078529981737994,79,7729407166100661307,1

