kmer_1,hash_1,kmer_2,hash_2,Sample
0,15896372163151244609,44,4514222802987761763,1
1,3763208846493873144,30,3542424343283710974,1
2,5793418823144905774,27,470873563198924943,1
3,3368770015561832229,29,4694340931063531444,1
4,3360156014420140975,36,15289889647611077798,1
5,13400085871399719842,35,3624099423720719932,1
6,16165330908125110469,39,17170749242898952788,1
7,6130569287957231681,33,14192705779239901259,1
8,108667150399353652,39,17170749242898952788,1
9,10495384000642852061,40,10381042733107191896,1
10,9176247472284592449,58,9014096440927544276,1
11,4220743609123069365,49,8572875691607391649,1
12,6885210623999080702,45,18130239308840137967,1
13,2491426603489502718,48,8635629496335198604,1
14,3233381042860440551,45,18130239308840137967,1
15,2167832876281418833,41,9012938506178056533,1
16,3973950791077921961,51,3953895838875910202,1
17,1596305560011624177,55,678206687898463395,1
18,11075467284735671223,62,11737257004356714118,1
19,2511600503723035181,47,197895762575493667,1
20,3502597929199622843,47,197895762575493667,1
21,10788198737549696157,57,9660999808718081179,1
22,15331830271547731197,55,678206687898463395,1
23,3502570446354199254,58,9014096440927544276,1
24,10550590114869103361,67,14967828691559588633,1
25,11047472179658313291,61,8294238319020230745,1
26,17104531075602745527,71,12034380615683410739,1
27,470873563198924943,63,12008381134558409899,1
28,4004818859315990989,70,2140733268097599453,1
29,4694340931063531444,76,8300182839288550949,1
30,3542424343283710974,69,73306840894149594,1
31,2031325520728107497,74,14684560686452992449,1
32,9451170061876515279,60,13205672783349838191,1
33,14192705779239901259,61,8294238319020230745,1
34,643044505026843113,60,13205672783349838191,1
35,3624099423720719932,76,8300182839288550949,1
36,15289889647611077798,62,11737257004356714118,1
37,7903456513216771446,78,7879198740882957593,1
38,17569577348114663343,82,6701431970063500843,1
39,17170749242898952788,77,2559693132084998645,1
40,10381042733107191896,78,7879198740882957593,1
41,9012938506178056533,77,2559693132084998645,1
42,9358435239159917071,67,14967828691559588633,1
43,11035689199460904227,68,5098788367394361220,1
44,4514222802987761763,84,16305662678998114811,1
45,18130239308840137967,76,8300182839288550949,1
46,11729619052645375785,82,6701431970063500843,1
47,197895762575493667,76,8300182839288550949,1
48,8635629496335198604,74,14684560686452992449,1
49,8572875691607391649,77,2559693132084998645,1
50,16272363509298182002,75,10864974312186863878,1
51,3953895838875910202,78,7879198740882957593,1
52,6567176451396645740,77,2559693132084998645,1
53,895397616312252271,84,16305662678998114811,1
54,1848456407595427552,80,17344508174181073426,1
55,678206687898463395,85,315951429671963363,1
56,3508921227652839693,81,2730124570775480601,1
57,9660999808718081179,84,16305662678998114811,1
58,9014096440927544276,84,16305662678998114811,1
59,12593520911931567462,84,16305662678998114811,1

0,4452842927454926890,36,15892778383353217070,2
1,16649359312308345558,43,7582945912580549339,2
2,11104395474878095199,46,2395553750679385177,2
3,7551735443143698111,37,17425011337704517250,2
4,3140393857146174466,37,17425011337704517250,2
5,11629898635315867138,37,17425011337704517250,2
6,13432850603951835373,53,3797386047958076120,2
7,13930649705675795409,53,3797386047958076120,2
8,16149551209026837613,33,14468824634503957716,2
9,18210776966203773920,52,11038305989643768301,2
10,3744689878632331858,41,15391955202317281330,2
11,3504175927901236923,37,17425011337704517250,2
12,2190038615604169970,37,17425011337704517250,2
13,1885016925264315239,38,15565849212518867773,2
14,17189309371761493427,40,13844542797650216369,2
15,4950047171463166794,43,7582945912580549339,2
16,202476023162320803,51,6802644782652301751,2
17,12512651459143981136,44,16827615535862427968,2
18,7803964767489158166,62,10339770294123523925,2
19,14815318148859957686,54,18123314718304138022,2
20,9521609907179614105,51,6802644782652301751,2
21,8679622121555146623,50,2354060992461960062,2
22,13379601473923003454,54,18123314718304138022,2
23,7681773739175724782,59,15203136020779161327,2
24,17710450609241473702,53,3797386047958076120,2
25,6146734959409858278,55,5292125414827463616,2
26,436252539392599063,75,136722991234524675,2
27,12490636795716023422,66,11477460927505173610,2
28,15352351659931474389,68,3823754794957822353,2
29,1766561990268371533,57,12380312506691443213,2
30,11437533261302211696,80,4096295028467114993,2
31,10169199840057575003,58,16890941245840558147,2
32,13928426881976401976,63,2278338624991121641,2
33,14468824634503957716,62,10339770294123523925,2
