kmer_1,hash_1,kmer_2,hash_2,Sample
0,12905157496239611822,57,1306954553638707956,1
1,15574249923070719144,55,10142752261991003923,1
2,3022651348398337378,66,8932543287241342047,1
3,1097984197799448946,62,15166043332359461325,1
4,6460178763421453676,43,14869029909090424462,1
5,15963936324582080937,58,10160682829772824421,1
6,17339739147736951682,48,8086289176405593208,1
7,15198038946567491930,43,14869029909090424462,1
8,16556151238443598423,62,15166043332359461325,1
9,3701330640172858092,43,14869029909090424462,1
10,17774454800474686496,43,14869029909090424462,1
11,6032022942194404458,75,3581405892612386570,1
12,1588974213201415337,65,10677318135236597916,1
13,5776274081382329281,58,10160682829772824421,1
14,1275573880035892709,50,10102988672366193698,1
15,12274892975022607407,56,12969991681878936467,1
16,4365202046435177289,73,12675104587096717126,1
17,10048363671252145775,62,15166043332359461325,1
18,3730767033904740740,43,14869029909090424462,1
19,5477336132225966875,72,16056569504565090762,1
20,5279978134185611485,44,4874968237747641597,1
21,9045766229151911610,46,13683460596843658210,1
22,15966989601708717645,80,17865339110438569310,1
23,6913406383616836897,80,17865339110438569310,1
24,13965878797828959542,79,7034696737058440694,1
25,14927386812899266716,62,15166043332359461325,1
26,15190432852865722388,66,8932543287241342047,1
27,15646564254855921060,71,10522884372037683490,1
28,10156448998061300582,50,10102988672366193698,1
29,6026249720162120773,55,10142752261991003923,1
30,8580789672433516735,71,10522884372037683490,1
31,1652350910187291980,73,12675104587096717126,1
32,11158671223144465938,71,10522884372037683490,1
33,18070977598760745784,71,10522884372037683490,1
34,6888971711485132882,63,6094434516087223399,1
35,15778007614829072976,74,1827877218327910477,1
36,13378243545097299126,58,10160682829772824421,1
37,10882864968097502294,78,3880099013741698765,1
38,5215808517147322268,73,12675104587096717126,1
39,16847731726796238146,80,17865339110438569310,1
40,7451708253359883756,75,3581405892612386570,1
41,11538413152585812316,75,3581405892612386570,1
42,18020717831179770628,77,8307359369974525408,1
43,14869029909090424462,79,7034696737058440694,1
44,4874968237747641597,73,12675104587096717126,1
45,13474964876732149194,80,17865339110438569310,1
46,13683460596843658210,80,17865339110438569310,1
47,13085766938276416876,74,1827877218327910477,1
48,8086289176405593208,71,10522884372037683490,1
49,6451020364950872348,76,13707842829224861331,1
50,10102988672366193698,80,17865339110438569310,1
51,17251441142293940040,72,16056569504565090762,1
52,9495894346278716464,76,13707842829224861331,1
53,15027108698087932510,80,17865339110438569310,1
54,8543587305453195827,79,7034696737058440694,1
55,10142752261991003923,79,7034696737058440694,1
56,12969991681878936467,79,7034696737058440694,1
57,1306954553638707956,79,7034696737058440694,1
58,10160682829772824421,79,7034696737058440694,1

