kmer_1,hash_1,kmer_2,hash_2,Sample
0,12905157496239611822,49,6451020364950872348,1
1,15574249923070719144,25,14927386812899266716,1
2,3022651348398337378,37,10882864968097502294,1
3,1097984197799448946,75,3581405892612386570,1
4,6460178763421453676,73,12675104587096717126,1
5,15963936324582080937,30,8580789672433516735,1
6,17339739147736951682,43,14869029909090424462,1
7,15198038946567491930,75,3581405892612386570,1
8,16556151238443598423,70,14949253449212887793,1
9,3701330640172858092,32,11158671223144465938,1
10,17774454800474686496,34,6888971711485132882,1
11,6032022942194404458,73,12675104587096717126,1
12,1588974213201415337,67,8336284782956559063,1
13,5776274081382329281,65,10677318135236597916,1
14,1275573880035892709,50,10102988672366193698,1
15,12274892975022607407,73,12675104587096717126,1
16,4365202046435177289,47,13085766938276416876,1
17,10048363671252145775,59,12116515085421997098,1
18,3730767033904740740,71,10522884372037683490,1
19,5477336132225966875,76,13707842829224861331,1
20,5279978134185611485,55,10142752261991003923,1
21,9045766229151911610,73,12675104587096717126,1
22,15966989601708717645,48,8086289176405593208,1
23,6913406383616836897,46,13683460596843658210,1
24,13965878797828959542,74,1827877218327910477,1
25,14927386812899266716,73,12675104587096717126,1
26,15190432852865722388,74,1827877218327910477,1
27,15646564254855921060,70,14949253449212887793,1
28,10156448998061300582,64,9486943518933199674,1
29,6026249720162120773,68,12122510702908971050,1
30,8580789672433516735,80,17865339110438569310,1
31,1652350910187291980,52,9495894346278716464,1
32,11158671223144465938,67,8336284782956559063,1
33,18070977598760745784,54,8543587305453195827,1
34,6888971711485132882,79,7034696737058440694,1
35,15778007614829072976,80,17865339110438569310,1
36,13378243545097299126,58,10160682829772824421,1
37,10882864968097502294,59,12116515085421997098,1
38,5215808517147322268,65,10677318135236597916,1
39,16847731726796238146,76,13707842829224861331,1
40,7451708253359883756,76,13707842829224861331,1
41,11538413152585812316,80,17865339110438569310,1
42,18020717831179770628,69,12586103678462093113,1
43,14869029909090424462,67,8336284782956559063,1
44,4874968237747641597,69,12586103678462093113,1
45,13474964876732149194,74,1827877218327910477,1
46,13683460596843658210,76,13707842829224861331,1
47,13085766938276416876,79,7034696737058440694,1
48,8086289176405593208,76,13707842829224861331,1
49,6451020364950872348,75,3581405892612386570,1
50,10102988672366193698,76,13707842829224861331,1
51,17251441142293940040,79,7034696737058440694,1
52,9495894346278716464,79,7034696737058440694,1
53,15027108698087932510,76,13707842829224861331,1
54,8543587305453195827,75,3581405892612386570,1
55,10142752261991003923,79,7034696737058440694,1
56,12969991681878936467,79,7034696737058440694,1
57,1306954553638707956,80,17865339110438569310,1
58,10160682829772824421,80,17865339110438569310,1

