kmer_1,hash_1,kmer_2,hash_2,Sample
0,306,77,669,1
1,818,63,167,1
2,121,80,866,1
3,410,28,575,1
4,984,67,5,1
5,279,40,712,1
6,766,65,222,1
7,604,33,377,1
8,469,68,510,1
9,331,49,643,1
10,730,65,222,1
11,252,44,723,1
12,189,52,784,1
13,566,45,415,1
14,904,41,54,1
15,496,55,453,1
16,556,45,415,1
17,583,64,346,1
18,842,56,146,1
19,318,77,669,1
20,832,58,163,1
21,521,55,453,1
22,749,65,222,1
23,517,55,453,1
24,53,62,904,1
25,492,55,453,1
26,617,64,346,1
27,631,64,346,1
28,575,64,346,1
29,262,54,704,1
30,117,80,866,1
31,405,75,533,1
32,759,65,222,1
33,377,75,533,1
34,124,80,866,1
35,399,75,533,1
36,216,77,669,1
37,535,64,346,1
38,922,76,32,1
39,129,80,866,1
40,712,73,276,1
41,54,62,904,1
42,886,71,95,1
43,591,64,346,1
44,723,65,222,1
45,415,75,533,1
46,22,70,951,1
47,613,73,276,1
48,594,73,276,1
49,643,73,276,1
50,315,77,669,1
51,210,74,784,1
52,784,78,126,1
53,965,80,866,1
54,704,78,126,1
55,453,78,126,1
56,146,77,669,1
57,845,78,126,1
58,163,79,94,1

