kmer_1,hash_1,kmer_2,hash_2,Sample
0,8261352490567324627,31,11178908963904120492,1
1,11408634733218325923,48,7479690103472200407,1
2,11609314812324667831,51,5572332813343819512,1
3,5885366065460198668,43,11836143772175839149,1
4,607554417570468038,52,17546272624056091094,1
5,15671071975797900344,41,2913638957674390427,1
6,14608565340242718316,46,4427749869957087546,1
7,9883380223034519371,34,8786990767071999388,1
8,1244700068303992887,36,16917444064294932009,1
9,16272515444053385927,55,1109208869442346595,1
10,5546040317625840485,43,11836143772175839149,1
11,6464272710240074004,43,11836143772175839149,1
12,6414274123616793943,43,11836143772175839149,1
13,2439209244328653754,56,14782523425559473440,1
14,15200862543201538746,40,2912699065612831493,1
15,147314214484331816,52,17546272624056091094,1
16,5881966044814169255,61,12325852389800460416,1
17,8905073752150666593,54,10699621779675333915,1
18,52447647758290208,63,17545966278913659302,1
19,11856510439125255684,58,6344473124815787817,1
20,17417719563481597621,55,1109208869442346595,1
21,10073092151353604375,71,8433655484595612889,1
22,1230214970605460686,65,17229308510496995742,1
23,5047054128771682637,68,13408586126055729875,1
24,9857583351316373580,71,8433655484595612889,1
25,8504074333818882457,67,11246267914478101200,1
26,2754810431549655140,76,14822977527904631008,1
27,1523569722382336254,65,17229308510496995742,1
28,15470129592078847743,62,2946951835311861282,1
29,8885365590989917888,54,10699621779675333915,1
30,1018466049130016387,63,17545966278913659302,1
31,11178908963904120492,74,7317520878861241941,1
32,15848420217275061352,80,2750151056636257416,1
33,16060459946654705280,82,2408467325639511134,1
34,8786990767071999388,67,11246267914478101200,1
35,17559455387704912750,69,269092204126130376,1
36,16917444064294932009,69,269092204126130376,1
37,8028526545824655171,67,11246267914478101200,1
38,543203477975787540,77,18355862999302186514,1
39,4503344979706128307,78,14511927715668193349,1
40,2912699065612831493,81,15792129318806262283,1
41,2913638957674390427,81,15792129318806262283,1
42,1635407663964834,77,18355862999302186514,1
43,11836143772175839149,79,5231664227665684150,1
44,13915376208955881087,75,3517392002130657337,1
45,5227873754747409856,84,13322266238417727179,1
46,4427749869957087546,78,14511927715668193349,1
47,4960148510757027954,84,13322266238417727179,1
48,7479690103472200407,84,13322266238417727179,1
49,16745339428479854449,75,3517392002130657337,1
50,16463299641200385964,75,3517392002130657337,1
51,5572332813343819512,84,13322266238417727179,1
52,17546272624056091094,85,2698947681993632862,1
53,6137312619993100726,84,13322266238417727179,1
54,10699621779675333915,79,5231664227665684150,1
55,1109208869442346595,81,15792129318806262283,1
56,14782523425559473440,82,2408467325639511134,1
57,8018094763024646609,84,13322266238417727179,1
58,6344473124815787817,84,13322266238417727179,1
59,2922097957834346365,84,13322266238417727179,1

0,4599564816383413616,29,14092710010552881072,2
1,3559229268657910653,42,14765382476489282351,2
2,13585042520928605782,44,4766602791974270387,2
3,11527939925506669329,35,8728916256585696099,2
4,5234809584302125330,47,13092446201714769170,2
5,11204885928930625960,35,8728916256585696099,2
6,16253178557041171174,54,898704865020794051,2
7,16699200687257424993,54,898704865020794051,2
8,16433499897185015318,37,909265966186926107,2
9,8472134871779056873,39,10038056521620775877,2
10,12946229526517053344,60,5648563464784129298,2
11,14050570742449787899,54,898704865020794051,2
12,862257189931111134,53,16225672866066017399,2
13,12829587109188703024,60,5648563464784129298,2
14,14981394893019121484,54,898704865020794051,2
15,1544986635253551826,51,17062194727772094676,2
16,64871168321667592,51,17062194727772094676,2
17,7648813249683518312,43,10411165410517733798,2
18,1353839411904624487,51,17062194727772094676,2
19,7433091218566864419,52,11142432801086840444,2
20,3293809505922303504,45,15242508287215211963,2
21,8563554901981749565,48,10082149361103215816,2
22,17457857954811081525,54,898704865020794051,2
23,6410717633860313832,72,11560002408242811988,2
24,14958284278914340645,66,4121653130694119405,2
25,3147511670110098683,62,15370198401229491879,2
26,781711558460536310,67,16444374440447236354,2
27,14445123091356819080,77,4247149933576658423,2
28,2092351569482770524,73,16418071627262638666,2
29,14092710010552881072,66,4121653130694119405,2
30,2699901331711354876,55,15944843286415879301,2
31,556088742193330275,73,16418071627262638666,2
32,12477721640850750940,71,6319657554871186945,2
33,5424038293695229722,80,13621087349002829813,2
34,323114542501750341,73,16418071627262638666,2
35,8728916256585696099,64,9654123417462690085,2
36,8800422517018476660,64,9654123417462690085,2
37,909265966186926107,73,16418071627262638666,2
38,17216085355351230350,69,1022892007903247787,2
39,10038056521620775877,65,7034305270403105853,2
40,6726228205186482063,78,11724414876593886919,2
41,6268561110565267328,76,12674629362394977357,2
42,14765382476489282351,84,3575886195362720496,2
43,10411165410517733798,74,7994809405642750104,2
44,4766602791974270387,80,13621087349002829813,2
45,15242508287215211963,85,4407241902428674315,2
46,16413753068979803782,85,4407241902428674315,2
47,13092446201714769170,83,5455598433441621633,2
48,10082149361103215816,75,7051541613471988373,2
49,15707831174005730470,84,3575886195362720496,2
50,6332979691692293012,76,12674629362394977357,2
51,17062194727772094676,84,3575886195362720496,2
52,11142432801086840444,83,5455598433441621633,2
53,16225672866066017399,85,4407241902428674315,2
54,898704865020794051,80,13621087349002829813,2
55,15944843286415879301,84,3575886195362720496,2
56,9135695434584348333,81,10790151178099212826,2
57,14822545438722812597,84,3575886195362720496,2
58,5242964161562610150,84,3575886195362720496,2
59,12133971994587533572,84,3575886195362720496,2

0,15880686023121533694,29,3076632673223902520,3
1,15609583199241822527,31,3352760354481538905,3
2,7124336717475003851,49,11056307456502237309,3
3,16337472928180636656,33,1915823882669684265,3
4,15336664733223358464,29,3076632673223902520,3
