kmer_1,hash_1,kmer_2,hash_2,Sample
0,306,77,669,1
1,818,72,167,1
2,121,80,866,1
3,410,28,575,1
4,984,67,5,1
5,279,40,712,1
6,766,65,222,1
7,604,33,377,1
8,469,21,521,1
9,331,49,643,1
10,730,29,262,1
11,252,44,723,1
12,189,74,784,1
13,566,45,415,1
14,904,41,54,1
15,496,25,492,1
16,556,45,415,1
17,583,31,405,1
18,842,56,146,1
19,318,77,669,1
20,832,58,163,1
21,521,55,453,1
22,749,65,222,1
23,517,55,453,1
24,53,38,922,1
25,492,25,492,1
26,617,33,377,1
27,631,64,346,1
28,575,45,415,1
29,262,44,723,1
30,117,80,866,1
31,405,43,591,1
32,759,65,222,1
33,377,26,617,1
34,124,80,866,1
35,399,48,594,1
36,216,32,759,1
37,535,55,453,1
38,922,41,54,1
39,129,80,866,1
40,712,73,276,1
41,54,38,922,1
42,886,71,95,1
43,591,31,405,1
44,723,53,965,1
45,415,28,575,1
46,22,53,965,1
47,613,33,377,1
48,594,35,399,1
49,643,64,346,1
50,315,77,669,1
51,210,74,784,1
52,784,51,210,1
53,965,53,965,1
54,704,73,276,1
55,453,37,535,1
56,146,57,845,1
57,845,56,146,1
58,163,74,784,1

