kmer_1,hash_1,kmer_2,hash_2,Sample
0,18322570687945926432,65,7596230082605931669,1
1,17207694538727192842,50,1267170916627181684,1
2,13572545808526323321,57,7751025876767267205,1
3,1592718322790913458,42,7620235100710306525,1
4,7502526415030299371,46,10192126636332801046,1
5,13838326249465075873,40,3126815460958861898,1
6,8873099709660615089,62,15446862839676927588,1
7,13088627501647566599,34,179599109838584556,1
8,14012398756271721882,51,832028604789979724,1
9,5395079253297464055,41,9662199251465098664,1
10,13161464268721019464,75,13893731263815755236,1
11,8875693217544588279,76,12592966318722561668,1
12,9836760852180025330,48,8300290747676698632,1
13,11915516759452465553,45,5238535337643942520,1
14,14931420620442773526,44,5881733066943218832,1
15,16027469183351912245,43,2158041595693907191,1
16,5558840476993737581,44,5881733066943218832,1
17,7979303995450147784,43,2158041595693907191,1
18,4344688127668622837,44,5881733066943218832,1
19,11607088092063198524,43,2158041595693907191,1
20,3724702770543822916,58,6422754923088345833,1
21,6737242034773832441,64,11971388211873042396,1
22,1839877968484908960,46,10192126636332801046,1
23,6505513391013301755,76,12592966318722561668,1
24,16137704767363857140,65,7596230082605931669,1
25,6636018794974163843,64,11971388211873042396,1
26,4101445398443604328,57,7751025876767267205,1
27,9863143355968547096,80,9459057197832546295,1
28,12628972236944744617,79,13275697886911786352,1
29,1174795332742157371,64,11971388211873042396,1
30,13219539411492023801,51,832028604789979724,1
31,7124892793422128923,62,15446862839676927588,1
32,7030214443671941059,61,10430246285063624008,1
33,1737045946034249684,69,30546427965375106,1
34,179599109838584556,68,12764586516442475523,1
35,14942364296807455325,68,12764586516442475523,1
36,9339459319655139748,65,7596230082605931669,1
37,17092527753035619296,76,12592966318722561668,1
38,15563090562328483788,68,12764586516442475523,1
39,12566530755884814467,67,1394101141588430616,1
40,3126815460958861898,80,9459057197832546295,1
41,9662199251465098664,77,7227213949375643898,1
42,7620235100710306525,68,12764586516442475523,1
43,2158041595693907191,66,16915670526272864750,1
44,5881733066943218832,66,16915670526272864750,1
45,5238535337643942520,68,12764586516442475523,1
46,10192126636332801046,73,12858017589175789095,1
47,69543736829228579,74,7140662263102054555,1
48,8300290747676698632,77,7227213949375643898,1
49,15463671028031261490,76,12592966318722561668,1
50,1267170916627181684,74,7140662263102054555,1
51,832028604789979724,73,12858017589175789095,1
52,2380557698257211594,79,13275697886911786352,1
53,6927947632573968502,76,12592966318722561668,1
54,11603280222427089808,75,13893731263815755236,1
55,13779920880958845315,80,9459057197832546295,1
56,2640364395527294782,79,13275697886911786352,1
57,7751025876767267205,80,9459057197832546295,1
58,6422754923088345833,80,9459057197832546295,1

