kmer_1,hash_1,kmer_2,hash_2,Sample
0,26400,72,38690,1
1,30986,69,33410,1
2,44665,52,20682,1
3,21938,31,42779,1
4,43755,52,20682,1
5,22689,31,42779,1
6,20913,31,42779,1
7,38663,33,24532,1
8,36250,53,28790,1
9,759,40,64074,1
10,55880,45,8824,1
11,52215,55,12675,1
12,49138,43,15607,1
13,47505,43,15607,1
14,10262,38,55244,1
15,63285,42,733,1
16,21357,63,40557,1
17,17352,76,46724,1
18,38389,41,21928,1
19,60732,71,2970,1
20,34884,53,28790,1
21,13049,44,50320,1
22,16288,76,46724,1
23,3579,50,61556,1
24,47860,47,13859,1
25,13187,76,46724,1
26,14696,76,46724,1
27,26904,49,35634,1
28,41129,52,20682,1
29,5179,65,56469,1
30,11769,60,53321,1
31,42779,52,20682,1
32,61379,71,2970,1
33,24532,63,40557,1
34,47852,55,12675,1
35,6749,65,56469,1
36,35236,68,27651,1
37,39904,67,20248,1
38,55244,80,10231,1
39,4227,70,61161,1
40,64074,66,494,1
41,21928,63,40557,1
42,733,70,61161,1
43,15607,76,46724,1
44,50320,80,10231,1
45,8824,76,46724,1
46,56342,74,8347,1
47,13859,76,46724,1
48,10248,76,46724,1
49,35634,80,10231,1
50,61556,71,2970,1
51,31308,77,33018,1
52,20682,77,33018,1
53,28790,77,33018,1
54,2960,79,60784,1
55,12675,76,46724,1
56,20286,77,33018,1
57,55685,78,5551,1
58,31465,80,10231,1

