kmer_1,hash_1,kmer_2,hash_2,Sample
0,306,54,704,1
1,818,69,180,1
2,121,42,886,1
3,410,43,591,1
4,984,46,22,1
5,279,44,723,1
6,766,29,262,1
7,604,35,399,1
8,469,75,533,1
9,331,77,669,1
10,730,61,274,1
11,252,32,759,1
12,189,57,845,1
13,566,55,453,1
14,904,79,94,1
15,496,68,510,1
16,556,55,453,1
17,583,45,415,1
18,842,58,163,1
19,318,54,704,1
20,832,63,167,1
21,521,68,510,1
22,749,61,274,1
23,517,68,510,1
24,53,70,951,1
25,492,68,510,1
26,617,55,453,1
27,631,55,453,1
28,575,55,453,1
29,262,52,784,1
30,117,62,904,1
31,405,59,634,1
32,759,61,274,1
33,377,59,634,1
34,124,62,904,1
35,399,59,634,1
36,216,74,784,1
37,535,68,510,1
38,922,79,94,1
39,129,62,904,1
40,712,64,346,1
41,54,70,951,1
42,886,78,126,1
43,591,68,510,1
44,723,73,276,1
45,415,77,669,1
46,22,67,5,1
47,613,68,510,1
48,594,75,533,1
49,643,75,533,1
50,315,74,784,1
51,210,80,866,1
52,784,73,276,1
53,965,76,32,1
54,704,75,533,1
55,453,77,669,1
56,146,80,866,1
57,845,80,866,1
58,163,80,866,1

