kmer_1,hash_1,kmer_2,hash_2,Sample
0,8261352490567324627,43,11836143772175839149,1
1,11408634733218325923,28,15470129592078847743,1
2,11609314812324667831,41,2913638957674390427,1
3,5885366065460198668,28,15470129592078847743,1
4,607554417570468038,34,8786990767071999388,1
5,15671071975797900344,49,16745339428479854449,1
6,14608565340242718316,49,16745339428479854449,1
7,9883380223034519371,40,2912699065612831493,1
8,1244700068303992887,44,13915376208955881087,1
9,16272515444053385927,40,2912699065612831493,1
10,5546040317625840485,50,16463299641200385964,1
11,6464272710240074004,53,6137312619993100726,1
12,6414274123616793943,37,8028526545824655171,1
13,2439209244328653754,39,4503344979706128307,1
14,15200862543201538746,59,2922097957834346365,1
15,147314214484331816,45,5227873754747409856,1
16,5881966044814169255,61,12325852389800460416,1
17,8905073752150666593,61,12325852389800460416,1
18,52447647758290208,45,5227873754747409856,1
19,11856510439125255684,50,16463299641200385964,1
20,17417719563481597621,61,12325852389800460416,1
21,10073092151353604375,63,17545966278913659302,1
22,1230214970605460686,64,6133102104043851237,1
23,5047054128771682637,54,10699621779675333915,1
24,9857583351316373580,54,10699621779675333915,1
25,8504074333818882457,59,2922097957834346365,1
26,2754810431549655140,54,10699621779675333915,1
27,1523569722382336254,57,8018094763024646609,1
28,15470129592078847743,66,11873418079629526658,1
29,8885365590989917888,54,10699621779675333915,1
30,1018466049130016387,68,13408586126055729875,1
31,11178908963904120492,56,14782523425559473440,1
32,15848420217275061352,67,11246267914478101200,1
33,16060459946654705280,73,17684145850880568397,1
34,8786990767071999388,67,11246267914478101200,1
35,17559455387704912750,67,11246267914478101200,1
36,16917444064294932009,73,17684145850880568397,1
37,8028526545824655171,81,15792129318806262283,1
38,543203477975787540,78,14511927715668193349,1
39,4503344979706128307,82,2408467325639511134,1
40,2912699065612831493,81,15792129318806262283,1
41,2913638957674390427,72,8976302402398160830,1
42,1635407663964834,68,13408586126055729875,1
43,11836143772175839149,69,269092204126130376,1
44,13915376208955881087,83,5763132007755541927,1
45,5227873754747409856,70,7416357905378454053,1
46,4427749869957087546,72,8976302402398160830,1
47,4960148510757027954,76,14822977527904631008,1
48,7479690103472200407,83,5763132007755541927,1
49,16745339428479854449,76,14822977527904631008,1
50,16463299641200385964,84,13322266238417727179,1
51,5572332813343819512,80,2750151056636257416,1
52,17546272624056091094,77,18355862999302186514,1
53,6137312619993100726,81,15792129318806262283,1
54,10699621779675333915,79,5231664227665684150,1
55,1109208869442346595,80,2750151056636257416,1
56,14782523425559473440,81,15792129318806262283,1
57,8018094763024646609,83,5763132007755541927,1
58,6344473124815787817,85,2698947681993632862,1
59,2922097957834346365,84,13322266238417727179,1

0,4599564816383413616,42,14765382476489282351,2
1,3559229268657910653,51,17062194727772094676,2
2,13585042520928605782,44,4766602791974270387,2
3,11527939925506669329,42,14765382476489282351,2
4,5234809584302125330,30,2699901331711354876,2
5,11204885928930625960,37,909265966186926107,2
6,16253178557041171174,42,14765382476489282351,2
7,16699200687257424993,50,6332979691692293012,2
8,16433499897185015318,53,16225672866066017399,2
9,8472134871779056873,49,15707831174005730470,2
10,12946229526517053344,46,16413753068979803782,2
11,14050570742449787899,40,6726228205186482063,2
12,862257189931111134,38,17216085355351230350,2
13,12829587109188703024,51,17062194727772094676,2
14,14981394893019121484,51,17062194727772094676,2
15,1544986635253551826,44,4766602791974270387,2
16,64871168321667592,49,15707831174005730470,2
17,7648813249683518312,49,15707831174005730470,2
18,1353839411904624487,45,15242508287215211963,2
19,7433091218566864419,49,15707831174005730470,2
20,3293809505922303504,47,13092446201714769170,2
21,8563554901981749565,61,14305253337523628956,2
22,17457857954811081525,47,13092446201714769170,2
23,6410717633860313832,65,7034305270403105853,2
24,14958284278914340645,53,16225672866066017399,2
25,3147511670110098683,65,7034305270403105853,2
26,781711558460536310,66,4121653130694119405,2
27,14445123091356819080,75,7051541613471988373,2
28,2092351569482770524,77,4247149933576658423,2
29,14092710010552881072,59,12133971994587533572,2
30,2699901331711354876,69,1022892007903247787,2
31,556088742193330275,60,5648563464784129298,2
32,12477721640850750940,73,16418071627262638666,2
33,5424038293695229722,59,12133971994587533572,2
34,323114542501750341,74,7994809405642750104,2
35,8728916256585696099,79,9446939549306305868,2
36,8800422517018476660,78,11724414876593886919,2
37,909265966186926107,66,4121653130694119405,2
38,17216085355351230350,75,7051541613471988373,2
39,10038056521620775877,80,13621087349002829813,2
40,6726228205186482063,73,16418071627262638666,2
41,6268561110565267328,76,12674629362394977357,2
42,14765382476489282351,75,7051541613471988373,2
43,10411165410517733798,77,4247149933576658423,2
44,4766602791974270387,77,4247149933576658423,2
45,15242508287215211963,72,11560002408242811988,2
