kmer_1,hash_1,kmer_2,hash_2,Sample
0,306,54,704,1
1,818,69,180,1
2,121,42,886,1
3,410,43,591,1
4,984,46,22,1
5,279,44,723,1
6,766,29,262,1
7,604,35,399,1
8,469,75,533,1
9,331,77,669,1
10,730,61,274,1
11,252,22,749,1
12,189,57,845,1
13,566,55,453,1
14,904,79,94,1
15,496,68,510,1
16,556,55,453,1
17,583,45,415,1
18,842,58,163,1
19,318,54,704,1
20,832,63,167,1
21,521,25,492,1
22,749,29,262,1
23,517,25,492,1
24,53,70,951,1
25,492,68,510,1
26,617,35,399,1
27,631,33,377,1
28,575,55,453,1
29,262,22,749,1
30,117,42,886,1
31,405,48,594,1
32,759,29,262,1
33,377,27,631,1
34,124,42,886,1
35,399,47,613,1
36,216,52,784,1
37,535,25,492,1
38,922,79,94,1
39,129,42,886,1
40,712,50,315,1
41,54,70,951,1
42,886,30,117,1
43,591,45,415,1
44,723,61,274,1
45,415,43,591,1
46,22,67,5,1
47,613,35,399,1
48,594,31,405,1
49,643,33,377,1
50,315,54,704,1
51,210,57,845,1
52,784,36,216,1
53,965,76,32,1
54,704,50,315,1
55,453,28,575,1
56,146,80,866,1
57,845,58,163,1
58,163,57,845,1

