kmer_1,hash_1,kmer_2,hash_2,Sample
0,18322570687945926432,73,12858017589175789095,1
1,17207694538727192842,41,9662199251465098664,1
2,13572545808526323321,28,12628972236944744617,1
3,1592718322790913458,33,1737045946034249684,1
4,7502526415030299371,45,5238535337643942520,1
5,13838326249465075873,28,12628972236944744617,1
6,8873099709660615089,44,5881733066943218832,1
7,13088627501647566599,56,2640364395527294782,1
8,14012398756271721882,48,8300290747676698632,1
9,5395079253297464055,42,7620235100710306525,1
10,13161464268721019464,64,11971388211873042396,1
11,8875693217544588279,79,13275697886911786352,1
12,9836760852180025330,54,11603280222427089808,1
13,11915516759452465553,36,9339459319655139748,1
14,14931420620442773526,48,8300290747676698632,1
15,16027469183351912245,53,6927947632573968502,1
16,5558840476993737581,78,17135569848674424239,1
17,7979303995450147784,48,8300290747676698632,1
18,4344688127668622837,76,12592966318722561668,1
19,11607088092063198524,79,13275697886911786352,1
20,3724702770543822916,48,8300290747676698632,1
21,6737242034773832441,58,6422754923088345833,1
22,1839877968484908960,59,10547582351722807267,1
23,6505513391013301755,77,7227213949375643898,1
24,16137704767363857140,46,10192126636332801046,1
25,6636018794974163843,49,15463671028031261490,1
26,4101445398443604328,52,2380557698257211594,1
27,9863143355968547096,61,10430246285063624008,1
28,12628972236944744617,74,7140662263102054555,1
29,1174795332742157371,76,12592966318722561668,1
30,13219539411492023801,55,13779920880958845315,1
31,7124892793422128923,72,7594459009228969762,1
32,7030214443671941059,75,13893731263815755236,1
33,1737045946034249684,65,7596230082605931669,1
34,179599109838584556,63,8098073502493875821,1
35,14942364296807455325,78,17135569848674424239,1
36,9339459319655139748,57,7751025876767267205,1
37,17092527753035619296,72,7594459009228969762,1
38,15563090562328483788,76,12592966318722561668,1
39,12566530755884814467,76,12592966318722561668,1
40,3126815460958861898,70,4480111917708144361,1
41,9662199251465098664,64,11971388211873042396,1
42,7620235100710306525,66,16915670526272864750,1
43,2158041595693907191,75,13893731263815755236,1
44,5881733066943218832,65,7596230082605931669,1
45,5238535337643942520,76,12592966318722561668,1
46,10192126636332801046,76,12592966318722561668,1
47,69543736829228579,72,7594459009228969762,1
48,8300290747676698632,74,7140662263102054555,1
49,15463671028031261490,74,7140662263102054555,1
50,1267170916627181684,79,13275697886911786352,1
51,832028604789979724,76,12592966318722561668,1
52,2380557698257211594,77,7227213949375643898,1
53,6927947632573968502,79,13275697886911786352,1
54,11603280222427089808,79,13275697886911786352,1
55,13779920880958845315,78,17135569848674424239,1
56,2640364395527294782,80,9459057197832546295,1
57,7751025876767267205,78,17135569848674424239,1
58,6422754923088345833,79,13275697886911786352,1

