kmer_1,hash_1,kmer_2,hash_2,Sample
0,8261352490567324627,36,16917444064294932009,1
1,11408634733218325923,50,16463299641200385964,1
2,11609314812324667831,31,11178908963904120492,1
3,5885366065460198668,40,2912699065612831493,1
4,607554417570468038,34,8786990767071999388,1
5,15671071975797900344,33,16060459946654705280,1
6,14608565340242718316,40,2912699065612831493,1
7,9883380223034519371,41,2913638957674390427,1
8,1244700068303992887,39,4503344979706128307,1
9,16272515444053385927,34,8786990767071999388,1
10,5546040317625840485,54,10699621779675333915,1
11,6464272710240074004,41,2913638957674390427,1
12,6414274123616793943,58,6344473124815787817,1
13,2439209244328653754,61,12325852389800460416,1
14,15200862543201538746,54,10699621779675333915,1
15,147314214484331816,62,2946951835311861282,1
16,5881966044814169255,58,6344473124815787817,1
17,8905073752150666593,66,11873418079629526658,1
18,52447647758290208,65,17229308510496995742,1
19,11856510439125255684,59,2922097957834346365,1
20,17417719563481597621,68,13408586126055729875,1
21,10073092151353604375,61,12325852389800460416,1
22,1230214970605460686,62,2946951835311861282,1
23,5047054128771682637,50,16463299641200385964,1
24,9857583351316373580,69,269092204126130376,1
25,8504074333818882457,54,10699621779675333915,1
26,2754810431549655140,56,14782523425559473440,1
27,1523569722382336254,70,7416357905378454053,1
28,15470129592078847743,58,6344473124815787817,1
29,8885365590989917888,57,8018094763024646609,1
30,1018466049130016387,66,11873418079629526658,1
31,11178908963904120492,62,2946951835311861282,1
32,15848420217275061352,75,3517392002130657337,1
33,16060459946654705280,76,14822977527904631008,1
34,8786990767071999388,80,2750151056636257416,1
35,17559455387704912750,75,3517392002130657337,1
36,16917444064294932009,84,13322266238417727179,1
37,8028526545824655171,77,18355862999302186514,1
38,543203477975787540,84,13322266238417727179,1
39,4503344979706128307,81,15792129318806262283,1
40,2912699065612831493,74,7317520878861241941,1
41,2913638957674390427,78,14511927715668193349,1
42,1635407663964834,84,13322266238417727179,1
43,11836143772175839149,79,5231664227665684150,1
44,13915376208955881087,73,17684145850880568397,1
45,5227873754747409856,75,3517392002130657337,1
46,4427749869957087546,79,5231664227665684150,1
47,4960148510757027954,84,13322266238417727179,1
48,7479690103472200407,75,3517392002130657337,1
49,16745339428479854449,76,14822977527904631008,1
50,16463299641200385964,83,5763132007755541927,1
51,5572332813343819512,85,2698947681993632862,1
52,17546272624056091094,85,2698947681993632862,1
53,6137312619993100726,81,15792129318806262283,1
54,10699621779675333915,82,2408467325639511134,1
55,1109208869442346595,85,2698947681993632862,1
56,14782523425559473440,84,13322266238417727179,1
57,8018094763024646609,84,13322266238417727179,1
58,6344473124815787817,85,2698947681993632862,1
59,2922097957834346365,85,2698947681993632862,1

0,4599564816383413616,50,6332979691692293012,2
1,3559229268657910653,50,6332979691692293012,2
2,13585042520928605782,40,6726228205186482063,2
3,11527939925506669329,47,13092446201714769170,2
4,5234809584302125330,50,6332979691692293012,2
5,11204885928930625960,36,8800422517018476660,2
6,16253178557041171174,53,16225672866066017399,2
7,16699200687257424993,47,13092446201714769170,2
8,16433499897185015318,56,9135695434584348333,2
9,8472134871779056873,51,17062194727772094676,2
10,12946229526517053344,48,10082149361103215816,2
11,14050570742449787899,37,909265966186926107,2
12,862257189931111134,54,898704865020794051,2
13,12829587109188703024,53,16225672866066017399,2
14,14981394893019121484,59,12133971994587533572,2
15,1544986635253551826,50,6332979691692293012,2
16,64871168321667592,47,13092446201714769170,2
17,7648813249683518312,48,10082149361103215816,2
18,1353839411904624487,64,9654123417462690085,2
19,7433091218566864419,46,16413753068979803782,2
20,3293809505922303504,69,1022892007903247787,2
21,8563554901981749565,53,16225672866066017399,2
22,17457857954811081525,72,11560002408242811988,2
23,6410717633860313832,73,16418071627262638666,2
24,14958284278914340645,58,5242964161562610150,2
25,3147511670110098683,63,7151389610665448000,2
26,781711558460536310,63,7151389610665448000,2
27,14445123091356819080,73,16418071627262638666,2
28,2092351569482770524,60,5648563464784129298,2
29,14092710010552881072,73,16418071627262638666,2
30,2699901331711354876,68,7682304305907220023,2
31,556088742193330275,72,11560002408242811988,2
32,12477721640850750940,79,9446939549306305868,2
33,5424038293695229722,69,1022892007903247787,2
34,323114542501750341,84,3575886195362720496,2
