"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
829,4.8125,32,60,0,0.0965331180680753,1
674,3.94117647058824,34,60,0,0.100047326905298,2
663,3.72222222222222,36,60,0,0.448869267929447,3
657,4.23529411764706,34,60,0,0.592555133375046,4
727,4.96774193548387,31,60,0,0.0205697250719841,5
707,3.61111111111111,36,60,0,0.0599729700081029,6
655,5.03225806451613,31,60,0,0.0340409862914692,7
653,5.17647058823529,34,60,0,0.229945454447748,8
654,3.56756756756757,37,60,0,0.155443230131457,9
677,3.55555555555556,36,60,0,0.0598856560163004,10
740,3.23076923076923,39,60,0,0.155507690365347,11
758,3.2972972972973,37,60,0,0.00664542471459051,12
629,6.66666666666667,27,60,0,0.0975395610120662,13
649,4.75,32,60,0,0.332182671515524,14
664,5.53333333333333,30,60,0,0.14216992504551,15
622,4.75,32,60,0,0.328976358855024,16
642,4.58064516129032,31,60,0,0.0993968523840035,17
630,7.53846153846154,26,60,0,0.0574846622351814,18
638,4.17647058823529,34,60,0,0.0625510266672741,19
638,4.18181818181818,33,60,0,0.743192369912321,20
625,5.03225806451613,31,60,0,0.0611649534765594,21
645,3.45945945945946,37,60,0,0.0898731987135981,22
673,3.72222222222222,36,60,0,0.147755520710014,23
640,4.42424242424242,33,60,0,0.150922319374489,24
639,4.42424242424242,33,60,0,0.153908216399911,25
639,4.3030303030303,33,60,0,0.226692788459697,26
651,4.375,32,60,0,0.141663637009439,27
610,4.11764705882353,34,60,0,0.146580360391806,28
652,4,36,60,0,0.0621312472221552,29
646,3.56756756756757,37,60,0,0.0351321388443623,30
772,4.17647058823529,34,60,0,0.153196942873806,31
744,4.58823529411765,34,60,0,0.0993906114110213,32
692,3.83333333333333,36,60,0,0.157167072418586,33
732,4.11764705882353,34,60,0,0.0953728341128132,34
738,4.64705882352941,34,60,0,0.32232110006053,35
713,4.75,32,60,0,0.0586068273521773,36
751,4.05555555555556,36,60,0,0.0221156211555744,37
761,4.66666666666667,33,60,0,0.221559529959531,38
725,4.38888888888889,36,60,0,0.100890689723763,39
659,3.40540540540541,37,60,0,0.0233089098880616,40
659,5.66666666666667,30,60,0,0.0374611413434005,41
651,5.26666666666667,30,60,0,0.0409851156900253,42
650,3.51351351351351,37,60,0,0.0394101926778021,43
656,3.1,40,60,0,0.221018293009069,44
664,4.8125,32,60,0,0.147106723120758,45
648,4.82352941176471,34,60,0,0.0966289494979879,46
643,6.5,28,60,0,0.146811593673004,47
646,4.66666666666667,33,60,0,0.0228704872569231,48
650,4.66666666666667,33,60,0,0.0193286842855364,49
647,4.16666666666667,36,60,0,0.0134840020383796,50
897,4.4375,32,60,0,0.0660364884652311,51
667,4.11428571428571,35,60,0,0.0617614940102803,52
772,4.22222222222222,36,60,0,0.152620172273176,53
714,6,28,60,0,0.223758843293744,54
1547,3.55,40,60,0,0.220810189924531,55
647,4.84848484848485,33,60,0,0.0134709598981362,56
824,3.44444444444444,36,60,0,0.447350054848152,57
666,6,30,60,0,0.148509038952125,58
647,4.3030303030303,33,60,0,0.037075480496278,59
663,5.66666666666667,30,60,0,0.0607065059693127,60
655,5.57575757575758,33,60,0,0.0352065943276055,61
650,6.57142857142857,28,60,0,0.219810895423031,62
697,4.36363636363636,33,60,0,0.102535161265602,63
678,4.22222222222222,36,60,0,0.0626969625357996,64
685,4.36363636363636,33,60,0,0.143532516416932,65
723,4.72727272727273,33,60,0,0.0988298968651238,66
631,4.78787878787879,33,60,0,0.0611137043290509,67
649,5.85714285714286,28,60,0,0.14290979666633,68
650,4.06060606060606,33,60,0,0.0975229274531784,69
687,6.06666666666667,30,60,0,0.0993546048040609,70
704,5.72413793103448,29,60,0,0.0235074891559014,71
598,4,34,60,0,0.0649617396884791,72
66598,3.94117647058824,34,60,0,0.0587210581620079,73
604,4.625,32,60,0,0.0962673107277775,74
703,4.60606060606061,33,60,0,0.0618700213271701,75
702,5.3125,32,60,0,0.0358271395012207,76
641,3.44444444444444,36,60,0,0.0223959782760423,77
658,3.13513513513514,37,60,0,0.0940724176841999,78
647,3.62162162162162,37,60,0,0.14854546158817,79
656,6.83870967741935,31,60,0,0.103304649061875,80
676,6.64285714285714,28,60,0,0.0580524677990945,81
658,5.58620689655172,29,60,0,0.150402509588329,82
624,3.72222222222222,36,60,0,0.0998757231957808,83
660,3.15789473684211,38,60,0,0.235856977689701,84
761,4.70967741935484,31,60,0,0.0224184970037535,85
722,5.53333333333333,30,60,0,0.0978213623868366,86
747,7.85714285714286,28,60,0,0.100934201518048,87
752,3.64705882352941,34,60,0,0.0588923551092081,88
744,4.36363636363636,33,60,0,0.0924517460727785,89
689,5.1875,32,60,0,0.0617984559369776,90
638,4.60606060606061,33,60,0,0.03351600830346,91
699,5.27272727272727,33,60,0,0.0376954692248938,92
618,3.61111111111111,36,60,0,0.0927239247344933,93
15362,4.96774193548387,31,60,0,0.095409958179969,94
660,4.48484848484848,33,60,0,0.148420891486557,95
1049,3.71428571428571,35,60,0,0.0970708294750399,96
664,7.67741935483871,31,60,0,0.153527876589393,97
661,4.35294117647059,34,60,0,0.0575805261709748,98
646,6,30,60,0,0.0635027131630735,99
653,3.07692307692308,39,60,0,0.104587609744875,100
