"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
233104,202175.352941176,34,9960,0,6.04039041007809e-12,1
226233,243283.032258065,31,9960,0,1.11800568802778e-11,2
229675,285161.230769231,26,9960,0,2.6283419884976e-12,3
247579,301482.846153846,26,9960,0,1.11800568802778e-11,4
256203,277827.777777778,27,9960,0,7.42228500882902e-12,5
291707,234866.413793103,29,9960,0,4.42790248911251e-12,6
230498,279809,26,9960,0,1.51688661631511e-11,7
231629,207651.485714286,35,9960,0,6.69642119532909e-12,8
220257,170243.692307692,39,9960,0,1.85720328005345e-11,9
214486,281519.037037037,27,9960,0,3.59623442136581e-12,10
