"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
809,7.76,25,60,0,0.0587850325351903,1
902,16.8421052631579,19,60,0,0.143885370600381,2
738,9.44,25,60,0,0.0596155548721412,3
770,11.7391304347826,23,60,0,0.0889172641060424,4
669,20.6315789473684,19,60,0,0.0906793700401006,5
701,13.3333333333333,21,60,0,0.0358062422761374,6
753,10.9166666666667,24,60,0,0.100687975102473,7
772,9.6,25,60,0,0.0586126816636267,8
758,8.30769230769231,26,60,0,0.229989019260814,9
846,8.91666666666667,24,60,0,0.0622782707777333,10
790,15.047619047619,21,60,0,0.0890828104814123,11
788,15.5652173913043,23,60,0,0.149969779570473,12
745,6.81481481481481,27,60,0,0.0608740352423887,13
627,14.0952380952381,21,60,0,0.0584964474830674,14
702,17.7272727272727,22,60,0,0.0612926792301958,15
678,18.1904761904762,21,60,0,0.0526225841787265,16
687,14.695652173913,23,60,0,0.317600327293421,17
688,7.14285714285714,28,60,0,0.059914345295784,18
775,15.9,20,60,0,0.0938662234950975,19
709,15.1428571428571,21,60,0,0.020133111830962,20
771,8,26,60,0,0.0917600314250919,21
788,7.92307692307692,26,60,0,0.062614099251149,22
792,9.69230769230769,26,60,0,0.0324994134645257,23
707,8.92307692307692,26,60,0,0.0859663623245016,24
795,8.57142857142857,28,60,0,0.0570113143399126,25
783,10.2307692307692,26,60,0,0.151002793165343,26
783,11.0769230769231,26,60,0,0.155123433188715,27
791,8.58333333333333,24,60,0,0.00629974845173165,28
790,16,18,60,0,0.140506276427229,29
854,17.4,20,60,0,0.403995524631369,30
701,10.7692307692308,26,60,0,0.14152854896416,31
704,15.5,20,60,0,0.0978980493683472,32
732,6.78571428571429,28,60,0,0.215318919019367,33
714,15.7,20,60,0,0.0567630145296121,34
713,9.91666666666667,24,60,0,0.0892120318653714,35
696,20.5555555555556,18,60,0,0.0332954157654105,36
743,12.8695652173913,23,60,0,0.431515388730803,37
716,9.04,25,60,0,0.151483742292745,38
764,12,23,60,0,0.0950684436288499,39
759,26.5555555555556,18,60,0,0.136754044735998,40
676,13.44,25,60,0,0.035395378018761,41
694,12.1666666666667,24,60,0,0.147073285603619,42
891,9.23076923076923,26,60,0,0.211022159908828,43
927,8.51851851851852,27,60,0,0.0946886375880595,44
836,14.3636363636364,22,60,0,0.0360696390443684,45
792,9.83333333333333,24,60,0,0.0856462280672861,46
791,34.4,15,60,0,0.0351730484947095,47
815,17.4545454545455,22,60,0,0.0220374629504453,48
874,7,28,60,0,0.0597765381971189,49
829,11.6666666666667,24,60,0,0.058822925394129,50
713,8.8,25,60,0,0.0931003862502222,51
582,12.4166666666667,24,60,0,0.21619286978755,52
795,9.28,25,60,0,0.144632770460579,53
679,27.8823529411765,17,60,0,0.093180397349351,54
728,22.9411764705882,17,60,0,0.0603621979900912,55
662,11.8181818181818,22,60,0,0.097598453093261,56
737,19.6842105263158,19,60,0,0.0586490140846713,57
705,13.1666666666667,24,60,0,0.312719033093051,58
740,13.1818181818182,22,60,0,0.020588650627847,59
756,9.04,25,60,0,0.0543764549031611,60
805,26.2352941176471,17,60,0,0.14377903876564,61
693,14.6,20,60,0,0.210101460680277,62
829,13.5454545454545,22,60,0,0.058180114063116,63
734,11.4545454545455,22,60,0,0.0346917592294517,64
889,9.08333333333333,24,60,0,0.143817478842911,65
626,17.3684210526316,19,60,0,0.0878627034860409,66
530,9.6,25,60,0,0.0367520571660653,67
544,10.3478260869565,23,60,0,0.141621695307645,68
576,16.2,20,60,0,0.20884531510384,69
777,19.4736842105263,19,60,0,0.211262697856202,70
847,7,26,60,0,0.036097477205098,71
825,8.61538461538461,26,60,0,0.0128317517687712,72
819,13.3913043478261,23,60,0,0.0357619643585716,73
824,20,20,60,0,0.0956598646315908,74
1002,16.3,20,60,0,0.139246555791,75
586,17.2,20,60,0,0.2074406958439,76
562,8.38461538461539,26,60,0,0.0956286015243926,77
559,12,23,60,0,0.0209429108532606,78
514,7.25925925925926,27,60,0,0.213447839807385,79
644,29.7647058823529,17,60,0,0.208228852130585,80
793,7.77777777777778,27,60,0,0.0891926854201631,81
819,6.57142857142857,28,60,0,0.0326892341963234,82
744,7.71428571428571,28,60,0,0.137248085669817,83
785,19.2173913043478,23,60,0,0.0356653772098755,84
709,10.3333333333333,24,60,0,0.0591463400051063,85
692,16.7619047619048,21,60,0,0.0927239643650385,86
769,16.7619047619048,21,60,0,0.213464364407404,87
724,12.9090909090909,22,60,0,0.0367746508649465,88
776,14.9090909090909,22,60,0,0.14285846696369,89
743,15.7,20,60,0,0.154403142443024,90
784,16.0952380952381,21,60,0,0.0560951376235518,91
827,14.7,20,60,0,0.146312498990864,92
781,16.9,20,60,0,0.0376698157888803,93
903,8.83333333333333,24,60,0,0.145560251240603,94
976,6.06896551724138,29,60,0,0.142697550069232,95
874,11.5833333333333,24,60,0,0.150913709091896,96
769,6,29,60,0,0.146765622012163,97
801,9.58333333333333,24,60,0,0.0888297977938224,98
793,25.1111111111111,18,60,0,0.0838882656090492,99
731,14.4210526315789,19,60,0,0.0582976325964634,100
