"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
242489,246558.8,30,9960,0,1.23794308137803e-11,1
229551,282575.692307692,26,9960,0,9.11304365303067e-12,2
214370,195888.457142857,35,9960,0,9.11304365303067e-12,3
221665,293006.740740741,27,9960,0,3.99091870662005e-12,4
229040,241028.75862069,29,9960,0,1.00948138737067e-11,5
243312,219393.3125,32,9960,0,4.91173768324416e-12,6
249029,211044.303030303,33,9960,0,1.37047040382754e-11,7
315001,231462.2,30,9960,0,4.57212046001132e-11,8
253048,220260.4375,32,9960,0,4.42790248911251e-12,9
289314,208019.485714286,35,9960,0,3.59623442136581e-12,10
