"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
255322,4.35285739718711,5617,9960,0,2.7773117139418e-11,1
239993,4.28267423302004,5639,9960,0,5.57319745908558e-11,2
219334,4.27827011697979,5642,9960,0,7.48912043491146e-11,3
220869,4.32798448245459,5671,9960,0,2.36655139929098e-12,4
269032,4.33215171924849,5642,9960,0,3.74784647760862e-11,5
262475,4.42150383997142,5599,9960,0,2.27203811320464e-11,6
226882,4.20857596611964,5667,9960,0,7.48912043491146e-11,7
227071,4.33570919458304,5612,9960,0,4.57212046001132e-11,8
219516,4.49417667084752,5581,9960,0,2.17893814102865e-10,9
275305,4.29228591648974,5652,9960,0,1.11800568802778e-11,10
