"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
349594,4.38293333333333,5625,9960,0,5.57319745908558e-11,1
223589,4.38300142247511,5624,9960,0,5.63296853606232e-10,2
225295,4.30161835319225,5623,9960,0,7.48912043491146e-11,3
230974,4.26898734177215,5688,9960,0,1.79762760232904e-10,4
279551,4.38325912733749,5615,9960,0,2.63901012154122e-10,5
296240,4.25457746478873,5680,9960,0,2.05438999145713e-11,6
224085,4.32001414427157,5656,9960,0,2.17893814102865e-10,7
228453,4.29106322854115,5662,9960,0,2.27203811320464e-11,8
219564,4.44309234073014,5588,9960,0,2.7773117139418e-11,9
226672,4.25648312611012,5630,9960,0,1.34501854098801e-10,10
