"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
9041,3.28205128205128,39,60,0,0.15629274085915,1
7421,4.83333333333333,36,60,0,0.0365953287310098,2
7332,3.51351351351351,37,60,0,0.0366533607214701,3
7465,3.83333333333333,36,60,0,0.0194746235843194,4
9421,3.82352941176471,34,60,0,0.142341951559552,5
65942,5.1875,32,60,0,0.149949088316804,6
11067,4.42424242424242,33,60,0,0.333323578724651,7
6231,4.5,32,60,0,0.231808346810052,8
53437,4,35,60,0,0.0995486629018137,9
9108,4.42424242424242,33,60,0,0.0976184170136867,10
11650,5.35483870967742,31,60,0,0.0224395286857524,11
9383,6.25806451612903,31,60,0,0.224457171482382,12
32699,7.03448275862069,29,60,0,0.0210516592036134,13
15542,3.65714285714286,35,60,0,0.0196291090974279,14
9733,5.8125,32,60,0,0.158424052334336,15
13105,5.75,32,60,0,0.0368618801880414,16
56768,3.45945945945946,37,60,0,0.232995402474109,17
9906,3.55555555555556,36,60,0,0.328066563596363,18
5640,6.13333333333333,30,60,0,0.143201338846968,19
69955,3.45945945945946,37,60,0,0.150988924756109,20
6343,4.76470588235294,34,60,0,0.331858102207536,21
12321,5.72413793103448,29,60,0,0.0607617684624366,22
5454,3.82352941176471,34,60,0,0.0991288432400395,23
66840,4,35,60,0,0.144367552551546,24
10430,4,34,60,0,0.0370646827201385,25
10003,3.48717948717949,39,60,0,0.0612301736628952,26
10750,3.15789473684211,38,60,0,0.432760127881491,27
34373,5.16129032258065,31,60,0,0.325564637924902,28
11919,3.2972972972973,37,60,0,0.0359543353835021,29
9440,3.82857142857143,35,60,0,0.0329712159119738,30
6237,5,34,60,0,0.0375169198479596,31
51345,7,26,60,0,0.144377973516055,32
5478,3.66666666666667,36,60,0,0.144292185014136,33
6779,4.35294117647059,34,60,0,0.0621677893628038,34
65669,4.36363636363636,33,60,0,0.152452463786817,35
5873,5.86206896551724,29,60,0,0.0559296047511402,36
7078,4.54545454545455,33,60,0,0.310650883803566,37
5878,3.61111111111111,36,60,0,0.147863498334422,38
54361,3.35135135135135,37,60,0,0.320603828327676,39
7585,5.46666666666667,30,60,0,0.0404514039818462,40
10775,5,32,60,0,0.0367345627978005,41
9746,3.94117647058824,34,60,0,0.022706771003118,42
43159,3.82857142857143,35,60,0,0.146915509309278,43
5933,5,32,60,0,0.0349059889495984,44
5899,6.06666666666667,30,60,0,0.227392020771418,45
5915,4.54545454545455,33,60,0,0.154196859369756,46
62832,3.72222222222222,36,60,0,0.102755724164888,47
8644,3.88571428571429,35,60,0,0.153688071173542,48
5996,2.87179487179487,39,60,0,0.061983301691368,49
72158,7.14285714285714,28,60,0,0.00652652023947831,50
8021,4.5,32,60,0,0.587298466943721,51
6368,3.23076923076923,39,60,0,0.608459724110706,52
9826,4.05714285714286,35,60,0,0.226243000460592,53
45366,4.36363636363636,33,60,0,0.0951709504107412,54
17510,3.94117647058824,34,60,0,0.458300643808656,55
13147,6.62068965517241,29,60,0,0.0592741414306834,56
7524,5.63636363636364,33,60,0,0.324457267548052,57
35684,2.73170731707317,41,60,0,0.159943269361767,58
12199,4.34285714285714,35,60,0,0.154613835337276,59
6074,4,34,60,0,0.142471411518747,60
42446,3.45945945945946,37,60,0,0.0594867834148672,61
6181,3.24324324324324,37,60,0,0.238643347191928,62
14346,3.82857142857143,35,60,0,0.0937920447327663,63
9087,4,35,60,0,0.00334568955184356,64
48971,4.18181818181818,33,60,0,0.0997253703199643,65
10633,3.71428571428571,35,60,0,0.235187854458885,66
9479,5.46666666666667,30,60,0,0.0381282011629029,67
6049,4.54545454545455,33,60,0,0.0918432277221298,68
63997,4.52941176470588,34,60,0,0.0212153546456525,69
11939,3.24324324324324,37,60,0,0.448634697573895,70
12651,4.45714285714286,35,60,0,0.156185097011638,71
49049,4.375,32,60,0,0.0605746271435981,72
6483,5.16129032258065,31,60,0,0.0401268820115671,73
5707,4.96969696969697,33,60,0,0.444445094199713,74
11074,4.12121212121212,33,60,0,0.156334359709168,75
55146,4.625,32,60,0,0.0637656152932307,76
10815,3.72972972972973,37,60,0,0.154539461585153,77
5868,3.94117647058824,34,60,0,0.0626344716061112,78
5775,6.07142857142857,28,60,0,0.212616245895574,79
56212,4.17647058823529,34,60,0,0.228880312920415,80
11519,4.5,32,60,0,0.0635818502464932,81
6466,3.61111111111111,36,60,0,0.0213628617077443,82
6778,3.94285714285714,35,60,0,0.0601517186926043,83
85334,4.35294117647059,34,60,0,0.215894738491994,84
17845,4.05405405405405,37,60,0,0.0987636288598701,85
8107,4.18181818181818,33,60,0,0.227449300877025,86
14199,4.11428571428571,35,60,0,0.219208117032424,87
87083,3.35135135135135,37,60,0,0.0620791846422273,88
27958,3.94444444444444,36,60,0,0.103715579513559,89
13625,5,32,60,0,0.151964359940835,90
18896,4.57142857142857,35,60,0,0.0374040921904634,91
17381,4.3125,32,60,0,0.154652092836621,92
45853,4.58823529411765,34,60,0,0.152836612537937,93
5957,4.625,32,60,0,0.100544929550621,94
7385,3.66666666666667,36,60,0,0.225076067957096,95
7262,4.6875,32,60,0,0.00645469420870914,96
226789,4.96774193548387,31,60,0,0.325893609235415,97
11610,4.90322580645161,31,60,0,0.219574482881478,98
11861,4.64516129032258,31,60,0,0.0578744594880656,99
12678,4.83870967741935,31,60,0,0.225526441509618,100
