"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
792,3.94285714285714,35,60,0,0.0933796459906832,1
814,4.4375,32,60,0,0.150755000901139,2
792,3.72972972972973,37,60,0,0.153827227936988,3
793,3.71428571428571,35,60,0,0.0983011094463488,4
775,3.21052631578947,38,60,0,0.154942023597343,5
818,3.40540540540541,37,60,0,0.150438598649503,6
788,4.29411764705882,34,60,0,0.102665629810298,7
3450,3.33333333333333,39,60,0,0.158509390467032,8
763,4,33,60,0,0.102973947675897,9
764,3.2972972972973,37,60,0,0.0111584328303729,10
761,4,34,60,0,0.222107728560308,11
4224,3.35135135135135,37,60,0,0.0661806014240627,12
795,3.15789473684211,38,60,0,0.0651519149095482,13
748,3.44444444444444,36,60,0,0.0978101174653098,14
669,5.2258064516129,31,60,0,0.101512459811159,15
676,3.2972972972973,37,60,0,0.0638732691927552,16
653,3.07692307692308,39,60,0,0.055568477180854,17
748,3.83333333333333,36,60,0,0.234566280179562,18
715,3.56756756756757,37,60,0,0.330152237542901,19
667,4.72727272727273,33,60,0,0.154122958997067,20
697,3,40,60,0,0.15147505081425,21
652,3.36842105263158,38,60,0,0.0634224727491068,22
712,4.17142857142857,35,60,0,0.0974284429382928,23
642,3.71428571428571,35,60,0,0.0624706328777203,24
634,3.38888888888889,36,60,0,0.0599529691446256,25
604,3.38888888888889,36,60,0,0.230476137812646,26
554,3.61111111111111,36,60,0,0.147852233928663,27
800,3.82857142857143,35,60,0,0.0376260987139498,28
900,4.36363636363636,33,60,0,0.320817201692938,29
966,4.24242424242424,33,60,0,0.144190198584597,30
792,3.48571428571429,35,60,0,0.0999781624773723,31
751,3.94117647058824,34,60,0,0.0599993193806051,32
721,3.2972972972973,37,60,0,0.146357765786698,33
775,3.65714285714286,35,60,0,0.0221923495536771,34
721,3.40540540540541,37,60,0,0.097750862672259,35
690,3.2972972972973,37,60,0,0.0960339408760059,36
695,3.35135135135135,37,60,0,0.0217531934617003,37
781,2.87179487179487,39,60,0,0.223499081275898,38
764,3.2972972972973,37,60,0,0.0920602591910786,39
773,2.53658536585366,41,60,0,0.44977975840793,40
755,3.55555555555556,36,60,0,0.159672356268615,41
758,3.72222222222222,36,60,0,0.228224590460827,42
778,3.62162162162162,37,60,0,0.227405135323658,43
811,3.18918918918919,37,60,0,0.151731228624035,44
781,3.45945945945946,37,60,0,0.0976321319791723,45
766,4.05714285714286,35,60,0,0.145116087021267,46
743,2.97435897435897,39,60,0,0.0992174330056729,47
771,4.05882352941176,34,60,0,0.153936249978732,48
894,3.40540540540541,37,60,0,0.445895585607376,49
759,3.33333333333333,36,60,0,0.103442691460812,50
705,4.05714285714286,35,60,0,0.102289367983846,51
662,3.88235294117647,34,60,0,0.0987309040240506,52
747,3.2972972972973,37,60,0,0.0612261731464684,53
800,4.12121212121212,33,60,0,0.149540823519373,54
845,4.375,32,60,0,0.101129313408355,55
845,3.94117647058824,34,60,0,0.156595912976626,56
814,3.62162162162162,37,60,0,0.15145858885118,57
801,5.31034482758621,29,60,0,0.0612736799117912,58
841,4.29411764705882,34,60,0,0.0377714254719582,59
809,4.12121212121212,33,60,0,0.328889314253301,60
1065,4.22857142857143,35,60,0,0.233572909148088,61
792,4,33,60,0,0.0625521335844388,62
814,4.11764705882353,34,60,0,0.0926665455640031,63
942,4.16666666666667,36,60,0,0.0583746724400644,64
3301,2.22727272727273,44,60,0,0.327906068926165,65
729,3.48571428571429,35,60,0,0.322791458401972,66
1109,3.71428571428571,35,60,0,0.0604708859709124,67
706,3.45945945945946,37,60,0,0.00629973895321323,68
626,3.62162162162162,37,60,0,0.746971925916169,69
687,3.82352941176471,34,60,0,0.0376263804955045,70
761,3.82352941176471,34,60,0,0.0616396789657868,71
712,3.6,35,60,0,0.220002930343982,72
823,3.5,36,60,0,0.157455310875803,73
781,3.88888888888889,36,60,0,0.0219593426302526,74
798,3.55555555555556,36,60,0,0.447255350125979,75
682,4,34,60,0,0.0956017026450975,76
676,3.25,40,60,0,0.103362248324639,77
1005,3.94117647058824,34,60,0,0.0972785538891984,78
693,3.54285714285714,35,60,0,0.157721418406727,79
743,3.94444444444444,36,60,0,0.15335820420542,80
677,3.45945945945946,37,60,0,0.226051878067302,81
661,3.56756756756757,37,60,0,0.154425573306546,82
662,3.42857142857143,35,60,0,0.0371914720613167,83
668,3.44444444444444,36,60,0,0.101015336301273,84
2702,3.40540540540541,37,60,0,0.224567699064502,85
679,3.44444444444444,36,60,0,0.0226565198990485,86
1668,3.55555555555556,36,60,0,0.0212986371837074,87
628,3.54285714285714,35,60,0,0.0368977030727298,88
773,3.51351351351351,37,60,0,0.0131963652663117,89
689,4.70967741935484,31,60,0,0.147020503032075,90
678,4.05882352941176,34,60,0,0.318163932246697,91
997,3.77142857142857,35,60,0,0.0230083603773588,92
651,3.6,35,60,0,0.0380193825814701,93
1008,3.77777777777778,36,60,0,0.235493283868153,94
726,3.66666666666667,36,60,0,0.225890370184667,95
1858,3.77777777777778,36,60,0,0.594093195645466,96
694,2.57142857142857,42,60,0,0.100753375823925,97
711,3.6,35,60,0,0.150712495067174,98
688,3.35135135135135,37,60,0,0.225330917821661,99
497,3.82352941176471,34,60,0,0.147380552512922,100
