"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
255220,4.22713603396427,5653,9960,0,8.98904062296424e-10,1
255983,4.32947874043764,5621,9960,0,1.10741749104193e-10,2
236439,4.27966848880268,5671,9960,0,4.57212046001132e-11,3
220139,4.28495762711864,5664,9960,0,5.12720310652526e-10,4
240640,4.34250221827862,5635,9960,0,6.04039041007809e-12,5
306892,4.34717784877529,5634,9960,0,5.04840613757551e-11,6
231487,4.27121640735502,5656,9960,0,2.17893814102865e-10,7
221739,4.34191372270549,5633,9960,0,5.12720310652526e-10,8
225351,4.40806854694752,5602,9960,0,2.05438999145713e-11,9
220344,4.35986527211487,5641,9960,0,3.74784647760862e-11,10
