"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
259,4.72727272727273,33,60,0,0.103775085441372,1
253,4.24242424242424,33,60,0,0.0935171631050732,2
250,3.88571428571429,35,60,0,0.0619047695879237,3
244,3.15789473684211,38,60,0,0.577291754976247,4
197,3.23076923076923,39,60,0,0.0207720382837154,5
207,3.83333333333333,36,60,0,0.15777890068708,6
236,4.17647058823529,34,60,0,0.152591771607315,7
230,4.05882352941176,34,60,0,0.22169139194985,8
235,3.78947368421053,38,60,0,0.0378074727746934,9
275,5.66666666666667,30,60,0,0.0991685037940173,10
250,3.94285714285714,35,60,0,0.0576233380154678,11
251,3.42105263157895,38,60,0,0.0664956453137674,12
248,4.3030303030303,33,60,0,0.103795792609615,13
245,5.33333333333333,30,60,0,0.0202553136425946,14
245,3.94444444444444,36,60,0,0.150543268271991,15
236,3.77777777777778,36,60,0,0.221751794331013,16
172,4.42424242424242,33,60,0,0.152755071214251,17
167,4.41176470588235,34,60,0,0.100853233923259,18
188,3.62162162162162,37,60,0,0.151294050360818,19
177,3.88235294117647,34,60,0,0.0979756546285891,20
179,4.23529411764706,34,60,0,0.156776461532341,21
195,3.65714285714286,35,60,0,0.148497519833427,22
170,4.36363636363636,33,60,0,0.217857382618292,23
213,3.10526315789474,38,60,0,0.0564474621342289,24
255,3.71428571428571,35,60,0,0.322906763995158,25
257,3.38888888888889,36,60,0,0.0955139171632974,26
260,3.65714285714286,35,60,0,0.0620156123761937,27
246,4.24242424242424,33,60,0,0.230507883021846,28
254,4.18181818181818,33,60,0,0.0387181618801119,29
265,4.4375,32,60,0,0.14477841951347,30
264,2.82926829268293,41,60,0,0.0594859658364711,31
257,5.2,30,60,0,0.0619493389198305,32
257,3.6,35,60,0,0.156247436391193,33
239,4.72727272727273,33,60,0,0.0354264639707588,34
233,3.40540540540541,37,60,0,0.156522823841341,35
219,3.66666666666667,36,60,0,0.153959716630322,36
223,4,35,60,0,0.149295948544466,37
272,3.71428571428571,35,60,0,0.561456829898488,38
243,3.2972972972973,37,60,0,0.216621418207797,39
229,4.625,32,60,0,0.0954572287230901,40
218,4.12121212121212,33,60,0,0.150809781296387,41
223,3.65714285714286,35,60,0,0.0363587694351148,42
223,4.42424242424242,33,60,0,0.101593107435459,43
244,4.96774193548387,31,60,0,0.233952399703836,44
250,2.8,40,60,0,0.228027124601029,45
236,3.26315789473684,38,60,0,0.153037734089023,46
231,4.8125,32,60,0,0.0363684848472945,47
254,5.26666666666667,30,60,0,0.323958887168801,48
257,3.94117647058824,34,60,0,0.0650217604692086,49
264,5.29032258064516,31,60,0,0.0980060867909915,50
262,4.12121212121212,33,60,0,0.0221304383273745,51
305,3.02564102564103,39,60,0,0.0643689389282925,52
249,4.3030303030303,33,60,0,0.221334334752174,53
250,4.3030303030303,33,60,0,0.335028456494347,54
247,4.4375,32,60,0,0.225903780797811,55
228,3.88571428571429,35,60,0,0.0221598290458005,56
218,4.24242424242424,33,60,0,0.0627218826670999,57
236,3.44444444444444,36,60,0,0.0648743580081854,58
274,4.875,32,60,0,0.0615273106457361,59
262,3.5,36,60,0,0.216614322658839,60
261,3.61111111111111,36,60,0,0.154977231857558,61
268,3.40540540540541,37,60,0,0.152112412580642,62
267,4.05714285714286,35,60,0,0.0623712255548402,63
265,3.51351351351351,37,60,0,0.100132422404,64
258,3.83783783783784,37,60,0,0.158811232602014,65
263,3.24324324324324,37,60,0,0.338354940634395,66
251,4.1875,32,60,0,0.0374282859421082,67
259,4.47058823529412,34,60,0,0.0644045643279053,68
258,4.12121212121212,33,60,0,0.0640778661699345,69
256,5.41935483870968,31,60,0,0.218537077571837,70
265,3.15789473684211,38,60,0,0.0996619147155143,71
255,3.55555555555556,36,60,0,0.0993164659492438,72
255,3.26315789473684,38,60,0,0.159028727981231,73
257,3.26315789473684,38,60,0,0.0621119011536405,74
258,3.83333333333333,36,60,0,0.0603351950886646,75
261,3.2972972972973,37,60,0,0.228585261545427,76
258,3.36842105263158,38,60,0,0.0120435153542758,77
257,3.12820512820513,39,60,0,0.0219703953468759,78
268,3.5,36,60,0,0.147707799682565,79
258,3.66666666666667,36,60,0,0.100334235285921,80
261,3.45945945945946,37,60,0,0.141792885347368,81
257,3.88235294117647,34,60,0,0.0977964519371404,82
252,3.88888888888889,36,60,0,0.0355731515726407,83
257,4.375,32,60,0,0.0357521510157836,84
254,3.02564102564103,39,60,0,0.0981520926886253,85
159,3.2972972972973,37,60,0,0.0613558878981019,86
188,4.22857142857143,35,60,0,0.213428787041626,87
161,4.60606060606061,33,60,0,0.104333236176248,88
178,3.57894736842105,38,60,0,0.0601868209448352,89
180,4.625,32,60,0,0.140444669633241,90
160,3.77142857142857,35,60,0,0.613442074100857,91
198,3.82857142857143,35,60,0,0.236185850154155,92
247,3.72222222222222,36,60,0,0.156774947129039,93
231,4.60606060606061,33,60,0,0.138478641171567,94
275,3.61111111111111,36,60,0,0.0626258588241848,95
240,4.38709677419355,31,60,0,0.318228409787231,96
243,3.57894736842105,38,60,0,0.103088145397276,97
243,2.75,40,60,0,0.317058756590767,98
253,4,33,60,0,0.146712956566462,99
250,2.75,40,60,0,0.15554888740435,100
