"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
6864,3.56756756756757,37,60,0,0.0382100682353452,1
6386,3.72222222222222,36,60,0,0.101727686567885,2
23155,4.05882352941176,34,60,0,0.150364295520486,3
7251,3.07692307692308,39,60,0,0.328081062366774,4
8352,4.17647058823529,34,60,0,0.0379094289523098,5
41928,3.12820512820513,39,60,0,0.458129573323062,6
8558,3.94117647058824,34,60,0,0.146503546632934,7
10596,4.4375,32,60,0,0.0385786426928625,8
34166,3.18918918918919,37,60,0,0.0604930803260988,9
6508,4.11764705882353,34,60,0,0.0229727935928152,10
12764,4.29411764705882,34,60,0,0.0204452057227598,11
6075,3.5,36,60,0,0.580662109012576,12
62437,3.88235294117647,34,60,0,0.036954048585826,13
7840,4.24242424242424,33,60,0,0.455014684422107,14
7075,4.11764705882353,34,60,0,0.328331489141049,15
5647,4.28571428571429,35,60,0,0.142437545998945,16
74776,3.21052631578947,38,60,0,0.226666461878967,17
9961,3.21052631578947,38,60,0,0.0608020520364141,18
10730,3.47368421052632,38,60,0,0.0597168041792372,19
6141,3.10526315789474,38,60,0,0.312058147480496,20
42777,4.60606060606061,33,60,0,0.0952144803023316,21
11235,3.10526315789474,38,60,0,0.158364568443555,22
5485,3.47368421052632,38,60,0,0.0387196435787303,23
5810,3.94285714285714,35,60,0,0.0629351369295454,24
44090,4.05714285714286,35,60,0,0.0382570364922789,25
9782,4,33,60,0,0.0349821814247746,26
8947,3.15789473684211,38,60,0,0.057932921232657,27
5742,3.55555555555556,36,60,0,0.308545394706338,28
74995,3.40540540540541,37,60,0,0.0387338368377238,29
16776,4.36363636363636,33,60,0,0.0615110088461704,30
14160,3.21052631578947,38,60,0,0.449122954255332,31
6988,2.9,40,60,0,0.227582076515653,32
77290,3.94285714285714,35,60,0,0.0988096912309814,33
7063,2.9,40,60,0,0.334312973361188,34
9386,3.10526315789474,38,60,0,0.0988263724497733,35
99088,3.88235294117647,34,60,0,0.0351272944189071,36
10569,3.15789473684211,38,60,0,0.0410733807794204,37
8066,3.31578947368421,38,60,0,0.0584883297752007,38
13686,2.92307692307692,39,60,0,0.0590769689821762,39
108341,3.38888888888889,36,60,0,0.0946486525840188,40
12012,4.29411764705882,34,60,0,0.061841425840569,41
6357,3.27777777777778,36,60,0,0.334435537057757,42
5075,4.54545454545455,33,60,0,0.087564151077542,43
55817,4.75,32,60,0,0.584628077722999,44
10698,3.24324324324324,37,60,0,0.336726368970056,45
5738,3.24324324324324,37,60,0,0.096295192133883,46
48602,4.5625,32,60,0,0.152914017828763,47
7772,3,40,60,0,0.100791411036485,48
8157,3.77142857142857,35,60,0,0.0370881608376059,49
5991,2.94736842105263,38,60,0,0.0997291553934956,50
64752,3.45945945945946,37,60,0,0.0638250334063535,51
12323,3.82857142857143,35,60,0,0.0630241649312703,52
6147,3.44444444444444,36,60,0,0.155755785477009,53
9475,3.82857142857143,35,60,0,0.0955242368792723,54
58906,3.45945945945946,37,60,0,0.140924575725509,55
12941,3.67567567567568,37,60,0,0.232396198760281,56
10776,3.61111111111111,36,60,0,0.0390830901618567,57
63810,4.41176470588235,34,60,0,0.154468094816387,58
7649,3.44444444444444,36,60,0,0.217398789207575,59
8180,3.94117647058824,34,60,0,0.0610503916103013,60
18681,3.94285714285714,35,60,0,0.0915382276088715,61
54963,4.3030303030303,33,60,0,0.094500576532872,62
14399,4.11428571428571,35,60,0,0.0989838275380563,63
10090,3.51351351351351,37,60,0,0.155277199980653,64
11832,4.3125,32,60,0,0.153221010252889,65
44691,4.11428571428571,35,60,0,0.100109068476434,66
15060,3.54285714285714,35,60,0,0.224730806221606,67
10635,3.77777777777778,36,60,0,0.313132003454089,68
4872,3.10526315789474,38,60,0,0.22040806455271,69
75487,5.53333333333333,30,60,0,0.101505604617674,70
13765,4.17142857142857,35,60,0,0.0929022706804681,71
12436,4.62857142857143,35,60,0,0.226109428178928,72
61597,2.7,40,60,0,0.0653022006800555,73
6507,4.23529411764706,34,60,0,0.150706158483625,74
16610,3.15789473684211,38,60,0,0.321019355998441,75
11080,4,34,60,0,0.327819410606766,76
57663,3.83333333333333,36,60,0,0.21947505027714,77
14263,3.10526315789474,38,60,0,0.449801594819337,78
8382,3.88235294117647,34,60,0,0.106152019827462,79
11804,3.40540540540541,37,60,0,0.0590076996482516,80
7753,3.47368421052632,38,60,0,0.102967214062708,81
53346,3.72222222222222,36,60,0,0.10231105394917,82
16140,3.40540540540541,37,60,0,0.0991229458050745,83
8391,3.44444444444444,36,60,0,0.101818723222783,84
54215,3,38,60,0,0.00712526358353383,85
14331,4.17647058823529,34,60,0,0.100156514313387,86
9346,3.02564102564103,39,60,0,0.223036206491549,87
6860,3.17948717948718,39,60,0,0.344113537702451,88
48226,4.05882352941176,34,60,0,0.0981093273443017,89
6012,3.66666666666667,36,60,0,0.10024506551138,90
14060,3.31578947368421,38,60,0,0.0968814764550525,91
266937,3.55555555555556,36,60,0,0.330492834447319,92
7349,3.07692307692308,39,60,0,0.154791505894343,93
9798,2.46511627906977,43,60,0,0.0381294391740086,94
9169,3.82857142857143,35,60,0,0.233443762680736,95
54695,2.8,40,60,0,0.446648152328166,96
5765,2.82051282051282,39,60,0,0.0384620739663993,97
10962,4.18181818181818,33,60,0,0.10505220143649,98
6857,4,34,60,0,0.222364550951218,99
31454,3.61111111111111,36,60,0,0.0980585012241869,100
