"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
257344,4.42509831962817,5594,9960,0,1.00948138737067e-11,1
277186,4.28485598162219,5659,9960,0,6.78800349263042e-11,2
261916,4.34306049822064,5620,9960,0,1.08216446914611e-09,3
244439,4.25328889668479,5701,9960,0,9.86386083923207e-10,4
345808,4.37146415228607,5621,9960,0,2.05861927504714e-09,5
259150,4.37048888888889,5625,9960,0,4.57212046001132e-11,6
238857,4.26338028169014,5680,9960,0,2.3982060781691e-10,7
241507,4.47168793816286,5563,9960,0,2.27203811320464e-11,8
219798,4.33339231994337,5651,9960,0,9.11056785568576e-11,9
219715,4.34115972963358,5622,9960,0,2.51225706904279e-11,10
