"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
703,5.09090909090909,33,60,0,0.0583273081980354,1
662,4.68571428571429,35,60,0,0.155180335882479,2
661,4.9375,32,60,0,0.0607142406162483,3
664,3.42105263157895,38,60,0,0.328156813838221,4
671,3.45945945945946,37,60,0,0.0987732506107236,5
658,4.76470588235294,34,60,0,0.154764037861125,6
666,4.96774193548387,31,60,0,0.0593321008830059,7
657,4.83870967741935,31,60,0,0.100952645108314,8
703,4.75,32,60,0,0.330654578289288,9
661,5.21212121212121,33,60,0,0.0216231611508376,10
644,3.77777777777778,36,60,0,0.0992584462768578,11
1009,4.625,32,60,0,0.318468228540823,12
685,3.2972972972973,37,60,0,0.147948521680718,13
3583,3.77777777777778,36,60,0,0.233774621166995,14
664,4.24242424242424,33,60,0,0.0370238268915372,15
672,5.29032258064516,31,60,0,0.146278300353988,16
656,3.72972972972973,37,60,0,0.0362590765220849,17
613,5.37931034482759,29,60,0,0.435479172756462,18
633,4.16666666666667,36,60,0,0.225312812017233,19
635,4.36363636363636,33,60,0,0.228646342958681,20
642,3.77142857142857,35,60,0,0.230737985350791,21
523,4.8125,32,60,0,0.0989702740581738,22
508,4.05882352941176,34,60,0,0.326787587326504,23
516,4.35294117647059,34,60,0,0.0942807202305166,24
515,5.66666666666667,30,60,0,0.0879424441552251,25
514,4.9375,32,60,0,0.0210157104055774,26
513,5.06666666666667,30,60,0,0.1554054447683,27
514,5.9375,32,60,0,0.0549311052777886,28
516,4.8125,32,60,0,0.0975549187218042,29
625,6,30,60,0,0.0417322088140122,30
510,5.0625,32,60,0,0.0552025049547435,31
586,4.34285714285714,35,60,0,0.335745122672142,32
885,3.77142857142857,35,60,0,0.0970501681740028,33
779,4.58823529411765,34,60,0,0.0386414482064721,34
789,5.6,30,60,0,0.0621127005108409,35
731,5.67741935483871,31,60,0,0.227531966944404,36
657,5.35483870967742,31,60,0,0.0554881102534618,37
671,5,32,60,0,0.0122755785564551,38
660,7.92592592592593,27,60,0,0.0559526904596347,39
662,3.31578947368421,38,60,0,0.152976574346879,40
653,3.82857142857143,35,60,0,0.0222072513329785,41
664,5.93103448275862,29,60,0,0.0985655752404636,42
659,4.60606060606061,33,60,0,0.0221201052050892,43
649,4.90322580645161,31,60,0,0.0950888756205972,44
646,4.05882352941176,34,60,0,0.0200768694651687,45
679,3.55555555555556,36,60,0,0.0360414499939689,46
619,3.24324324324324,37,60,0,0.0953460349793971,47
610,5.26666666666667,30,60,0,0.0356993877198969,48
569,6.5,28,60,0,0.147528352150503,49
640,5.3125,32,60,0,0.0610410246385429,50
650,5.46666666666667,30,60,0,0.149685562635164,51
989,3.94117647058824,34,60,0,0.0389173137617456,52
1031,7.03703703703704,27,60,0,0.0557923602590576,53
644,8.57142857142857,28,60,0,0.144102149813538,54
626,3.35135135135135,37,60,0,0.101823090546334,55
564,3.05,40,60,0,0.0124296059109352,56
813,4.3030303030303,33,60,0,0.060480967566491,57
827,4.11428571428571,35,60,0,0.229640019744433,58
865,3.72222222222222,36,60,0,0.223748560390825,59
732,4.35294117647059,34,60,0,0.101000740581885,60
686,4.42424242424242,33,60,0,0.0900963682468394,61
643,5.15151515151515,33,60,0,0.102513582343243,62
766,5.48387096774194,31,60,0,0.0950858646077343,63
772,4.48484848484848,33,60,0,0.0372184401290048,64
718,4.23529411764706,34,60,0,0.100347284817588,65
795,4.11764705882353,34,60,0,0.0372583220828021,66
658,4.75,32,60,0,0.0928606559277287,67
660,4.625,32,60,0,0.060343579627543,68
1256,4.35294117647059,34,60,0,0.152054356455969,69
670,4.52941176470588,34,60,0,0.0378393413047087,70
667,5.86206896551724,29,60,0,0.100404698019356,71
639,4.70967741935484,31,60,0,0.151466101184577,72
636,3.65714285714286,35,60,0,0.022614685168344,73
636,6,31,60,0,0.0976627897382885,74
487,4.42424242424242,33,60,0,0.096158986498399,75
574,4.3125,32,60,0,0.452653992440257,76
749,4.90322580645161,31,60,0,0.0224613920232686,77
642,5.4,30,60,0,0.329408742944532,78
652,4.16666666666667,36,60,0,0.222960132910205,79
657,4.875,32,60,0,0.322321193868048,80
644,3.83783783783784,37,60,0,0.22728409870183,81
647,4.90322580645161,31,60,0,0.0949395862094682,82
618,4.18181818181818,33,60,0,0.0985463232031751,83
646,5.42857142857143,35,60,0,0.0993438445147661,84
647,3.48571428571429,35,60,0,0.096932624679934,85
650,3.45945945945946,37,60,0,0.213753314805234,86
626,3.55555555555556,36,60,0,0.143321320315208,87
590,5.21212121212121,33,60,0,0.0580400073475247,88
631,6.20689655172414,29,60,0,0.100815599684921,89
646,4.52941176470588,34,60,0,0.0573885185983967,90
638,3.40540540540541,37,60,0,0.0622730815195888,91
644,4.6875,32,60,0,0.323294127070546,92
649,4.28571428571429,35,60,0,0.151430394879296,93
41428,4.41176470588235,34,60,0,0.10418769715999,94
717,3.88235294117647,34,60,0,0.0355286023320722,95
687,5.2,30,60,0,0.021688647860775,96
697,4.4375,32,60,0,0.333033154333548,97
680,6.25806451612903,31,60,0,0.096546885788927,98
878,4.8,30,60,0,0.0598100848953732,99
778,4.78787878787879,33,60,0,0.223072945989132,100
