"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
18502,3.5,36,60,0,0.0372530634189324,1
22930,4.5,32,60,0,0.23264486305066,2
12894,3.88571428571429,35,60,0,0.101842807751606,3
11565,4.18181818181818,33,60,0,0.0384050734903094,4
8767,3.94285714285714,35,60,0,0.0991952535801901,5
119499,3.18918918918919,37,60,0,0.0565469742405874,6
11930,4.90909090909091,33,60,0,0.061076763918061,7
17470,3.51351351351351,37,60,0,0.012564099712763,8
43777,4.3125,32,60,0,0.0960210631587907,9
11185,3.67567567567568,37,60,0,0.755881216638361,10
6930,4.48484848484848,33,60,0,0.32014909806133,11
10777,3.56756756756757,37,60,0,0.0367403756288476,12
54234,4.17647058823529,34,60,0,0.093341046508733,13
8274,4.41176470588235,34,60,0,0.0618020290507825,14
5348,5.03225806451613,31,60,0,0.101453180692387,15
6159,3.2972972972973,37,60,0,0.0606400575521173,16
73009,3.65714285714286,35,60,0,0.0989796350715467,17
16913,3.38461538461538,39,60,0,0.0977333562503464,18
8345,3.65714285714286,35,60,0,0.0575084854602942,19
8983,4.66666666666667,33,60,0,0.231045701770228,20
42251,3.77142857142857,35,60,0,0.216172186166521,21
10604,3.6,35,60,0,0.0392479725855039,22
6804,3.94444444444444,36,60,0,0.0376417577605995,23
7396,5.71428571428571,28,60,0,0.0220168893561175,24
56456,4.18181818181818,33,60,0,0.0396166787208966,25
7135,5.2258064516129,31,60,0,0.315389329850756,26
9306,5.29032258064516,31,60,0,0.0197766699198587,27
44537,4.4,35,60,0,0.328580570040834,28
11130,4.05714285714286,35,60,0,0.0616480574881212,29
6132,4.23529411764706,34,60,0,0.00675946701573582,30
9009,5.92857142857143,28,60,0,0.0602082818892397,31
8378,4.6875,32,60,0,0.15449905632693,32
52466,4.54545454545455,33,60,0,0.22603573777666,33
8049,3.40540540540541,37,60,0,0.0980703628036501,34
8150,3.93939393939394,33,60,0,0.0985143713779234,35
6798,3.5,36,60,0,0.0213428442240685,36
107241,4.52941176470588,34,60,0,0.0986907244631007,37
14412,4.11428571428571,35,60,0,0.232536323099445,38
7961,5.13333333333333,30,60,0,0.151979765573236,39
48715,4.875,32,60,0,0.0641113511838725,40
9336,4.54545454545455,33,60,0,0.0370748336517606,41
7317,3.61111111111111,36,60,0,0.445460286929712,42
6323,4.06060606060606,33,60,0,0.156079884746562,43
6417,3.77142857142857,35,60,0,0.0581665022387171,44
104406,4.22857142857143,35,60,0,0.228413160938078,45
11935,3.6,35,60,0,0.599503495257587,46
8215,4.66666666666667,33,60,0,0.0368551037586005,47
59375,4.83870967741935,31,60,0,0.216047567960809,48
9329,3.70588235294118,34,60,0,0.0592162180945718,49
6090,4.9375,32,60,0,0.0375476598977642,50
11333,4.7741935483871,31,60,0,0.31867030358157,51
56674,4.18181818181818,33,60,0,0.0624714369001828,52
12139,5.5625,32,60,0,0.147881765291424,53
6425,4.11111111111111,36,60,0,0.235680537697363,54
7242,4.25,32,60,0,0.146735644963418,55
33540,4.5625,32,60,0,0.143609127253263,56
6038,4.36363636363636,33,60,0,0.0620214088504512,57
7929,3.13513513513514,37,60,0,0.23310049132924,58
59806,4.96774193548387,31,60,0,0.151148342256001,59
7241,5.24137931034483,29,60,0,0.0355175170232609,60
6697,3.65714285714286,35,60,0,0.155877873094404,61
9690,3.61111111111111,36,60,0,0.0340271867861143,62
8187,4.11764705882353,34,60,0,0.0627445113143237,63
68978,5.4,30,60,0,0.147792617367771,64
9081,4.88235294117647,34,60,0,0.333102038199717,65
9268,3.36842105263158,38,60,0,0.234791130901042,66
13630,5.35483870967742,31,60,0,0.0618979330096022,67
62542,4.11764705882353,34,60,0,0.00674022791531215,68
6516,3.61111111111111,36,60,0,0.0637390528551709,69
6433,5.86666666666667,30,60,0,0.0953420046530902,70
52950,3.5,36,60,0,0.101488054212202,71
7545,3.66666666666667,36,60,0,0.0994733503802796,72
8544,4.64705882352941,34,60,0,0.0594609249070032,73
7941,3.21052631578947,38,60,0,0.154363969916854,74
61782,3.56756756756757,37,60,0,0.151477729604425,75
9941,3.82857142857143,35,60,0,0.330391701155296,76
11039,4.11764705882353,34,60,0,0.0621107528618969,77
7703,4.875,32,60,0,0.142145991834868,78
81005,4.48484848484848,33,60,0,0.0584229444193939,79
13232,5.1875,32,60,0,0.0343380605749094,80
16003,4.5625,32,60,0,0.438733109906862,81
42367,3.54285714285714,35,60,0,0.147232134407796,82
14298,4.3030303030303,33,60,0,0.432523786195273,83
7816,4.17142857142857,35,60,0,0.0609935910350772,84
7121,5.79310344827586,29,60,0,0.0631675347472357,85
249443,4.75,32,60,0,0.0366633356435866,86
17015,5.33333333333333,30,60,0,0.0926131031906753,87
6278,4.84848484848485,33,60,0,0.104589987202167,88
6316,3.94117647058824,34,60,0,0.0978959617754407,89
39712,4.375,32,60,0,0.0954029491227461,90
13259,5.4,30,60,0,0.0972861177159212,91
10704,5.06666666666667,30,60,0,0.224843908349514,92
60658,4.11428571428571,35,60,0,0.0946524421094018,93
12251,4.25,32,60,0,0.100513480831257,94
10526,4.11428571428571,35,60,0,0.0378686022712772,95
10115,4.11764705882353,34,60,0,0.059814576996772,96
30302,3.21052631578947,38,60,0,0.0961964433032663,97
7151,4.75,32,60,0,0.445543171580565,98
6527,3.70588235294118,34,60,0,0.222652387706839,99
6336,5.93333333333333,30,60,0,0.0628057489195093,100
