"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
235326,4.32514578547447,5659,9960,0,8.19016299224984e-10,1
232684,4.36366874443455,5615,9960,0,2.27203811320464e-11,2
228093,4.18029056537721,5713,9960,0,3.1936575606295e-10,3
310250,4.27771873893022,5646,9960,0,7.4607864331e-10,4
327434,4.35658362989324,5620,9960,0,1.48185574921911e-10,5
428047,4.34384969868841,5642,9960,0,2.36655139929098e-12,6
485051,4.31016799292661,5655,9960,0,4.13993284098524e-11,7
475742,4.32550750220653,5665,9960,0,8.2609807883216e-11,8
347138,4.32098765432099,5670,9960,0,1.79762760232904e-10,9
408096,4.27378027378027,5698,9960,0,2.27203811320464e-11,10
