"TimeofExecution","E-hits_metric","UniqueKmers_2","UniqueHashes","KS-test-diff","KS-test-kmer2","Sample"
6980,4.78787878787879,33,60,0,0.218141740526194,1
6402,6.62068965517241,29,60,0,0.216486630972805,2
8699,3.55555555555556,36,60,0,0.0384216584192183,3
10465,3.18918918918919,37,60,0,0.148280568233837,4
9913,4,35,60,0,0.161044875485665,5
59568,4.96969696969697,33,60,0,0.0985376603900989,6
15293,4.18181818181818,33,60,0,0.022954075195069,7
9083,5.6,30,60,0,0.0354310803319507,8
57909,4.17647058823529,34,60,0,0.104153043085291,9
9721,4.4375,32,60,0,0.32503855674203,10
7759,4.05714285714286,35,60,0,0.313195170224777,11
11959,3.71428571428571,35,60,0,0.0388476434727868,12
63299,4.29411764705882,34,60,0,0.0118890730006068,13
10029,3.76470588235294,34,60,0,0.156686901470898,14
14348,5.35483870967742,31,60,0,0.0215058313086841,15
10433,3.94285714285714,35,60,0,0.218237496767019,16
134083,4.05882352941176,34,60,0,0.148961111765134,17
14684,3.94285714285714,35,60,0,0.0625387819748426,18
6392,4.74285714285714,35,60,0,0.058910317236329,19
104353,4.6875,32,60,0,0.0949037923476508,20
12377,4.47058823529412,34,60,0,0.151390792650839,21
16409,3.72222222222222,36,60,0,0.148383009362883,22
7578,6.5,28,60,0,0.0214150895822527,23
80911,5.16129032258065,31,60,0,0.0929743821597186,24
14513,3.66666666666667,36,60,0,0.0931535447202029,25
15329,2.97435897435897,39,60,0,0.446492038247458,26
9994,4.17142857142857,35,60,0,0.0393131565293181,27
122299,3.94117647058824,34,60,0,0.224087590508634,28
14744,5.6551724137931,29,60,0,0.439471771898026,29
7741,3.45945945945946,37,60,0,0.1451888400721,30
8821,4.27777777777778,36,60,0,0.446175092025292,31
70938,5.05882352941176,34,60,0,0.0209880996476631,32
8713,4.6875,32,60,0,0.0590561308032664,33
6094,5.16129032258065,31,60,0,0.230480347046135,34
64364,3.42105263157895,38,60,0,0.102371818903097,35
14272,3.88571428571429,35,60,0,0.0957514472564308,36
5997,3.40540540540541,37,60,0,0.0645118004535983,37
8266,5.125,32,60,0,0.0227799474349334,38
102246,4.24242424242424,33,60,0,0.152489447442911,39
7996,3.94117647058824,34,60,0,0.102697134519258,40
28599,4.48484848484848,33,60,0,0.451936667357199,41
17686,4.62857142857143,35,60,0,0.225047874105253,42
29438,3.72222222222222,36,60,0,0.0619156362841432,43
97463,3.45945945945946,37,60,0,0.315148874211944,44
9231,4.64516129032258,31,60,0,0.0993498368307022,45
14234,4.625,32,60,0,0.0984500816514657,46
9260,5.61290322580645,31,60,0,0.0205261914703716,47
161533,6.5625,32,60,0,0.20976409804832,48
12403,3.71428571428571,35,60,0,0.158703564687454,49
10834,4.3030303030303,33,60,0,0.440812402888407,50
7390,5.48387096774194,31,60,0,0.148503473446449,51
104030,4.22857142857143,35,60,0,0.153115590506053,52
11001,5.2258064516129,31,60,0,0.0625120040085737,53
12599,5.93333333333333,30,60,0,0.0125130693651261,54
7238,3.13513513513514,37,60,0,0.0126781312333043,55
66802,4,35,60,0,0.0196470346310426,56
18128,4.72727272727273,33,60,0,0.0116710089859962,57
8684,4.96774193548387,31,60,0,0.0901558941142865,58
8515,4.23529411764706,34,60,0,0.0972422305617594,59
51525,2.92307692307692,39,60,0,0.0646801185731533,60
13252,4.75,32,60,0,0.145445815783312,61
7785,4.76470588235294,34,60,0,0.0982264636534946,62
60706,5.17647058823529,34,60,0,0.0614917843155931,63
8814,4.7741935483871,31,60,0,0.312274257390478,64
6595,5.2258064516129,31,60,0,0.222157498724036,65
8395,3.83333333333333,36,60,0,0.0980157932930915,66
54762,7.25925925925926,27,60,0,0.221119352241302,67
9231,3.10526315789474,38,60,0,0.0368892210276557,68
6453,3.51351351351351,37,60,0,0.228117950130498,69
8815,3.77142857142857,35,60,0,0.145785533739126,70
144016,4,34,60,0,0.0921265866348432,71
8994,4.66666666666667,33,60,0,0.0225029903632256,72
6722,4,35,60,0,0.0364762008719248,73
15886,3.40540540540541,37,60,0,0.0993727276645329,74
66407,3.45945945945946,37,60,0,0.0614371661502385,75
10409,3.77777777777778,36,60,0,0.147908610330421,76
9847,4.35294117647059,34,60,0,0.316678302428715,77
8130,4.24242424242424,33,60,0,0.153454275328603,78
107341,6.2,30,60,0,0.0378875880613613,79
10706,4.78787878787879,33,60,0,0.101517261271787,80
11452,4.83870967741935,31,60,0,0.222560274898169,81
8579,5.125,32,60,0,0.0605145514809277,82
51476,4.11764705882353,34,60,0,0.101463040285299,83
7518,5.09677419354839,31,60,0,0.0612227758049324,84
9631,5.2258064516129,31,60,0,0.30634531857845,85
9427,3.77142857142857,35,60,0,0.231702358616494,86
52968,4.90322580645161,31,60,0,0.100028465765697,87
10525,4.17647058823529,34,60,0,0.588741504950467,88
13311,4.42105263157895,38,60,0,0.234573212341343,89
56319,3.77777777777778,36,60,0,0.603568001629003,90
14134,3.77142857142857,35,60,0,0.153283099786398,91
8690,5.09677419354839,31,60,0,0.0615614291482841,92
7601,3.5,36,60,0,0.438031078195187,93
44558,3.83333333333333,36,60,0,0.0985551213974935,94
11414,4.6875,32,60,0,0.0636208617048905,95
6241,5.58823529411765,34,60,0,0.226520210677323,96
118011,4.48484848484848,33,60,0,0.147994078738095,97
9529,4.84848484848485,33,60,0,0.214405027079788,98
11943,4.66666666666667,33,60,0,0.0929592226542519,99
11893,5.66666666666667,30,60,0,0.0961268390749969,100
