"TimeofExecution","E-hits_metric_kmer2","E-hits_kmer3","E-hits_diff_kmer2","E-hits_kmer3","UniqueKmers_2","UniqueKmers_3","UniqueHashes","KS-test-diff_kmer2","KS-test-diff_kmer3","KS-test-kmer2","KS-test-kmer3","Sample"
38640,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999992284330296,1
34276,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,2
33627,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999998051486327,3
37176,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,4
33523,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,5
34580,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,6
37096,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999998051486327,7
35026,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,8
37055,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999996021423783,9
35752,82.6673928830792,82.6848220769789,441107.133333333,154380.448275862,1377,1377,9939,0,0,1,0.999998051486327,10
